"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","adjusted_orders","adjusted_orders_rate","total_canceled_orders","total_canceled_orders_rate","avoidable_canceled_orders","avoidable_canceled_orders_rate","gross_subtotal_sales","adjusted_subtotal_sales","total_canceled_orders_subtotal_sales","avoidable_canceled_orders_subtotal_sales","subtotal_sales_after_adjustments_and_cancels","new_customer_orders","new_customer_orders_rate","gh_plus_customer_orders","gh_plus_customer_orders_rate","pick_up_orders","self_delivery_orders","grubhub_delivery_orders","avg_driver_time_at_store","avg_avoidable_driver_wait_time","avg_delivery_route_time","avg_order_to_delivery_time","ratings_all","ratings_5_stars","ratings_4_stars","ratings_3_stars","ratings_2_stars","ratings_1_star","reviews"
"2025-09-22","2025-10-05","3309744","W Bell Rd","Sensai Sushi Bar","4225 W Bell Rd  ","Phoenix","AZ","85053","3","1","0.333","2","0.667","2","0.667","129.79","-7.09","-100.12","-100.12","22.58","2","0.667","2","0.667","0","0","3","00:06:00.000","00:00:00.000","00:14:00.000","00:31:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","11801712","Thomas S Boyland St","Luke's Breakfast Club","116 Thomas S Boyland St  ","Brooklyn","NY","11233","4","0",,"1","0.250","1","0.250","78.12","0.00","-16.08","-16.08","62.04","4","1.000","3","0.750","0","0","4","00:08:00.000","00:07:00.000","00:15:40.200","00:37:19.800","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3309849","Queens Plaza S","Pardon My Panini","25-02 Queens Plaza S  ","Queens","NY","11101","1","0",,"1","1.000","1","1.000","23.98","0.00","-23.98","-23.98","0.00","1","1.000","1","1.000","0","0","1",,,,,"0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","2509728",,"Badri's Biryani Bar","716 10th Ave ","New York","NY","10019","6","0",,"0",,"0",,"113.92","0.00","0.00","0.00","113.92","4","0.667","5","0.833","0","0","6","00:04:30.000","00:01:15.000","00:05:45.000","00:30:40.200","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10611360","Utica Ave","Bobby's Caribbean Grill","2102 Utica Ave  ","Brooklyn","NY","11234","1","0",,"0",,"0",,"29.78","0.00","0.00","0.00","29.78","0",,"1","1.000","0","0","1","00:06:00.000","00:00:00.000","00:25:00.000","00:47:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3308893","Pico Blvd","Sicily's Calzone House","2624 Pico Blvd  ","Santa Monica","CA","90405","2","0",,"0",,"0",,"74.44","0.00","0.00","0.00","74.44","1","0.500","2","1.000","0","0","2","00:13:30.000","00:11:00.000","00:14:00.000","00:51:30.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","3310271","9th Ave","The Gourmet Burger","468 9th Ave  ","New York","NY","10018","1","0",,"1","1.000","1","1.000","27.98","0.00","-27.98","-27.98","0.00","1","1.000","0",,"0","0","1",,,,,"0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","1937273",,"Snobby Chicken Wings","937 1st Avenue ","New York","NY","10022","1","0",,"0",,"0",,"45.45","0.00","0.00","0.00","45.45","1","1.000","1","1.000","0","0","1","00:13:00.000","00:10:00.000","00:10:00.000","00:31:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","10929368","N Tustin Ave","The Sandwich Vibe","2431 N Tustin Ave  ","Santa Ana","CA","92705","1","0",,"0",,"0",,"22.37","0.00","0.00","0.00","22.37","1","1.000","0",,"0","0","1","00:18:00.000","00:18:00.000","00:10:00.000","00:55:00.000","0","0","0","0","0","0","0"
"2025-09-22","2025-10-05","9819592","28501 Hoover Rd","Bosscat breakfast","28501 Hoover Rd  ","Warren","MI","48093","2","0",,"0",,"0",,"33.93","0.00","0.00","0.00","33.93","0",,"2","1.000","0","0","2","00:02:00.000","00:01:00.000","00:16:30.000","00:32:00.000","0","0","0","0","0","0","0"
