"order_channel","order_number","order_date","order_time_local","day_of_week","hour_of_day","order_time_zone","cancellation_date","cancellation_time_local","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","store_type","fulfillment_type","customer_type","gh_plus_customer","cancellation_issue","cancellation_reason","avoidable_cancellation","voided_order_subtotal","voided_self_delivery_charge","voided_merchant_fees","voided_sales_tax","voided_tip","voided_order_total","transaction_id","transaction_note"
"Marketplace","328131267031417","2025-10-05","05:14:02 PM","Sunday","5 PM","America/New_York","2025-10-05","05:42:00 PM","10494968","George St","Erica's Shake Shack","228 George St  ","New Brunswick","NJ","08901","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-16.18","0.00","0.00","-0.74","0.00","-16.92","CQMAAAAAAKAj-Ms7KSCiLxHwqSH12HKCbNkAAAAB","Cancelled by Merchant"
"Marketplace","249531241943879","2025-10-02","11:03:30 PM","Thursday","11 PM","America/New_York","2025-10-02","11:33:00 PM","11801712","Thomas S Boyland St","Luke's Breakfast Club","116 Thomas S Boyland St  ","Brooklyn","NY","11233","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-16.08","0.00","0.00","-1.07","0.00","-17.15","CQMAAAAAALQUcHSWZ6CgBRHwp6H371r55ggAAAAB",
"Marketplace","080931213147788","2025-09-30","06:38:23 PM","Tuesday","6 PM","America/Chicago","2025-09-30","07:22:00 PM","3310280","S Eldorado Rd","Schezwan Chinese Bar","716 S Eldorado Rd  ","Bloomington","IL","61704","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-29.67","0.00","0.00","-2.33","0.00","-32.00","CQMAAAAAADKCyBcO1zCeVhHwlzGPRF6gxcUAAAAB","Restaurant cannot fulfill order"
"Marketplace","156631192815217","2025-09-28","06:37:21 PM","Sunday","6 PM","America/New_York","2025-09-28","07:20:00 PM","8567152",,"Brad's Buffalo Wings","171 W 23rd St  ","New York","NY","10011","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-82.91","0.00","0.00","-7.36","0.00","-90.27","CQMAAAAAAIK5cGC4ZQCcuxHwpQHdTFmTPIsAAAAB",
"Marketplace","771231184953395","2025-09-26","06:00:04 PM","Friday","6 PM","America/Phoenix","2025-09-26","06:45:54 PM","3309744","W Bell Rd","Sensai Sushi Bar","4225 W Bell Rd  ","Phoenix","AZ","85053","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Order Picked Up By Another Driver","Yes","-50.06","0.00","0.00","-3.88","0.00","-53.94","CQMAAAAAADKAsCaIQyibPRHwgykrGbibUGQAAAAB",
"Marketplace","404431247480610","2025-10-03","02:50:15 PM","Friday","2 PM","America/New_York","2025-10-03","03:36:00 PM","2539849",,"Bosscat Cheesesteaks","459 Main St ","Armonk","NY","10504","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-21.74","0.00","0.00","-1.37","0.00","-23.11","CQMAAAAAACbBSZk1DYCgiRHwjYF5QDU4SggAAAAB","Cancelled by Merchant"
"Marketplace","983431221398284","2025-10-01","04:17:02 PM","Wednesday","4 PM","America/New_York","2025-10-01","04:53:00 PM","2776714",,"LV Taco Bar (1st Ave)","1741 1st Avenue  ","New York","NY","10128","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-18.38","0.00","0.00","-1.63","0.00","-20.01","CQMAAAAAACpeivtDVBCfAhHwlBFzBmojn74AAAAB",
"Marketplace","806731142837816","2025-09-23","01:00:11 PM","Tuesday","1 PM","America/New_York","2025-09-23","01:29:00 PM","8569944",,"Top Panini Shop","1175 2nd Ave  ","New York","NY","10065","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Cancelled by Merchant","Yes","-40.96","0.00","0.00","-3.37","0.00","-44.33","CQMAAAAAAILEWJ4nDyCYnhHwjyE5UzxS2HYAAAAB","Cancelled by Merchant"
"Marketplace","209831173729471","2025-09-26","04:06:51 PM","Friday","4 PM","America/Chicago","2025-09-26","04:45:00 PM","9813512","W National","The Pasta Story","2138 W National Ave  ","Milwaukee","WI","53204","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-31.58","0.00","0.00","-2.10","0.00","-33.68","CQMAAAAAAJW-CJufjgCbHBHwjgFbrYeJQUUAAAAB",
"Marketplace","767831137588797","2025-09-22","07:24:43 PM","Monday","7 PM","America/New_York","2025-09-22","08:05:00 PM","6893800","Dream Gourmet Deli inc. - 111 East 161 Street","Prime Burger Lounge","111 E 161 St  ","Bronx","NY","10452","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-18.88","0.00","0.00","-0.56","0.00","-19.44","CQMAAAAAAGkw6Mt7hJCYChHwhJEjU4wwuIEAAAAB",
"Marketplace","358631170944837","2025-09-25","09:11:04 PM","Thursday","9 PM","America/Phoenix","2025-09-25","09:47:00 PM","3309744","W Bell Rd","Sensai Sushi Bar","4225 W Bell Rd  ","Phoenix","AZ","85053","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-50.06","0.00","0.00","-3.88","0.00","-53.94","CQMAAAAAADKAsEqOUgCajhHwkgGbcZPgsLwAAAAB",
"Marketplace","736831225153794","2025-10-01","08:40:33 AM","Wednesday","8 AM","America/New_York","2025-10-01","09:15:00 AM","9820960","370 Main St","FirstBite Breakfast Sandwiches","370 Main St  ","East Orange","NJ","07018","Corporate","Grubhub Delivery","Loyal","GH+","Transmission Issues","POS Failed Order","Yes","-15.39","0.00","0.00","-0.69","0.00","-16.08","CQMAAAAAAJXbIDTc6vCewxHwqvEHN9YT8RoAAAAB","Third Party POS failed to receive"
"Marketplace","886931236246188","2025-10-02","10:47:48 AM","Thursday","10 AM","America/New_York","2025-10-02","11:31:00 AM","9820960","370 Main St","FirstBite Breakfast Sandwiches","370 Main St  ","East Orange","NJ","07018","Corporate","Grubhub Delivery","Returning","GH+","Transmission Issues","POS Failed Order","Yes","-37.74","0.00","0.00","-2.30","0.00","-40.04","CQMAAAAAAJXbILFEfDSfnhHwvDW551-1nTgAAAAB","Third Party POS failed to receive"
"Marketplace","601231227744190","2025-10-01","12:57:27 AM","Wednesday","12 AM","America/New_York","2025-10-01","01:43:00 AM","7751128","DC Taco & Wings - 1406 Florida Ave NW","Arturo's Burrito Bowls","1406 Florida Ave NW  ","Washington","DC","20009","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-44.37","0.00","0.00","-2.66","0.00","-47.03","CQMAAAAAAHZF2NNgW9CeghHwm9Gl7kT_tawAAAAB",
"Marketplace","805831211903375","2025-09-30","12:50:51 PM","Tuesday","12 PM","America/New_York","2025-09-30","01:30:00 PM","10938296","Meacham Ave","Zinger's Famous Chicken","20 Meacham Ave  ","Elmont","NY","11003","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Cancelled by Merchant","Yes","-48.94","0.00","0.00","-3.40","0.00","-52.34","CQMAAAAAAKbnuHReIrCeGhHworFl1SgdK3wAAAAB","Cancelled by Merchant"
"Marketplace","537231226927855","2025-10-01","08:17:28 AM","Wednesday","8 AM","America/New_York","2025-10-01","09:09:00 AM","9820960","370 Main St","FirstBite Breakfast Sandwiches","370 Main St  ","East Orange","NJ","07018","Corporate","Grubhub Delivery","Returning","non GH+","Transmission Issues","POS Failed Order","Yes","-30.06","0.00","0.00","-1.99","0.00","-32.05","CQMAAAAAAJXbIPh6HWCevxHwnWGl7kT_tawAAAAB","Third Party POS failed to receive"
"Marketplace","519431259843940","2025-10-04","01:51:56 PM","Saturday","1 PM","America/New_York","2025-10-04","02:29:41 PM","8567152",,"Brad's Buffalo Wings","171 W 23rd St  ","New York","NY","10011","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-34.96","0.00","0.00","-2.57","0.00","-37.53","CQMAAAAAAIK5cI49AaChShHwgaEhmqCfKQAAAAAB","RESTAURANT_CANNOT_FULFILL_ORDER"
"Marketplace","355031133809516","2025-09-22","12:23:01 AM","Monday","12 AM","America/New_York","2025-09-22","12:55:00 AM","3300978","7th Ave","Mufasa's Pancakes & French Toast","154 7th Ave  ","New York","NY","10011","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-11.38","0.00","0.00","-1.01","0.00","-12.39","CQMAAAAAADJecjdL4WCXaxHwoWHXZA4B2iIAAAAB","Cancelled by Merchant"
"Marketplace","249531231947977","2025-10-02","07:52:21 PM","Thursday","7 PM","America/New_York","2025-10-02","08:32:00 PM","3310025","10th Ave","Indian Biryani Snob","716 10th Ave ","New York","NY","10019","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-17.99","0.00","0.00","-1.15","0.00","-19.14","CQMAAAAAADKByZDXVICf6hHwlIGDJ3Sf_YoAAAAB",
"Marketplace","175031275673203","2025-10-05","10:34:39 PM","Sunday","10 PM","America/New_York","2025-10-05","11:04:00 PM","4515656","154 7th Ave","Tanya's Vegetarian Breakfast","154 7th Ave  ","New York","NY","10011","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-15.58","0.00","0.00","-1.04","0.00","-16.62","CQMAAAAAAETnSLYnOICiXBHwuIGNT5I6-9kAAAAB",
"Marketplace","838731200017528","2025-09-28","08:37:55 PM","Sunday","8 PM","America/New_York","2025-09-28","09:13:00 PM","3300978","7th Ave","Mufasa's Pancakes & French Toast","154 7th Ave  ","New York","NY","10011","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-21.54","0.00","0.00","-1.91","0.00","-23.45","CQMAAAAAADJeckKT9qCczBHwtqEFYUeDAD8AAAAB",
"Marketplace","223231178771875","2025-09-26","07:02:17 PM","Friday","7 PM","America/New_York","2025-09-26","09:33:32 PM","9843632","2909A Queens Plaza N","Amore Pasta Ristorante","2909 Queens Plaza N  ","Long Island City","NY","11101","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-14.69","0.00","0.00","-1.04","0.00","-15.73","CQMAAAAAAJYzsIwt5lCbLBHwplHhYLaKA4UAAAAB","Restaurant cannot fulfill order"
"Marketplace","835931206182828","2025-09-29","02:44:24 AM","Monday","2 AM","America/New_York","2025-09-29","03:23:19 AM","6891024","Caffe Venice - 596 3rd Ave","CJ's Breakfast Sandwich","596 3rd Ave  ","New York","NY","10016","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-11.29","0.00","0.00","-1.00","0.00","-12.29","CQMAAAAAAGkmEJ1C9VCc_xHwtVHdTFmTPIsAAAAB","RESTAURANT_IS_CLOSED"
"Marketplace","542531131804209","2025-09-22","07:50:07 PM","Monday","7 PM","America/New_York","2025-09-22","08:28:00 PM","6897992","Taste King Restaurant - 10763 Bustleton Ave","Sensai Sushi Bar","10763 Bustleton Ave  ","Philadelphia","PA","19116","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-58.97","0.00","0.00","-4.32","0.00","-63.29","CQMAAAAAAGlBSEvDm4CYDhHwm4HHixZr1cIAAAAB","RESTAURANT_IS_CLOSED"
"Marketplace","176831254078174","2025-10-04","02:05:40 PM","Saturday","2 PM","America/Phoenix","2025-10-04","02:39:00 PM","3310118","W Indian School Rd","Fried Rice Fanatic","400 W Indian School Rd  ","Phoenix","AZ","85013","Corporate","Grubhub Delivery","Loyal","GH+","Restaurant Issues","Order Picked Up By Another Driver","Yes","-16.09","0.00","0.00","-1.19","0.00","-17.28","CQMAAAAAADKCJrwbTQChZRHwjQGtZkXDU4kAAAAB",
"Marketplace","619931242837090","2025-10-03","02:32:43 PM","Friday","2 PM","America/Chicago","2025-10-03","03:06:00 PM","3310280","S Eldorado Rd","Schezwan Chinese Bar","716 S Eldorado Rd  ","Bloomington","IL","61704","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-21.09","0.00","0.00","-1.85","0.00","-22.94","CQMAAAAAADKCyLnLILKgjxHwoLMrVlasMgkAAAAB",
"Marketplace","802131266351160","2025-10-05","08:03:05 AM","Sunday","8 AM","America/New_York","2025-10-05","08:30:00 AM","10929240","Amsterdam Ave","The Burger Hole","1213 Amsterdam Ave  ","New York","NY","10027","Corporate","Grubhub Delivery","Loyal","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-17.48","0.00","0.00","-1.55","0.00","-19.03","CQMAAAAAAKbEWCNhaUCh4xHwqUHxMrTNFw4AAAAB","RESTAURANT_IS_CLOSED"
"Marketplace","490131258041996","2025-10-04","02:54:47 PM","Saturday","2 PM","America/New_York","2025-10-04","03:28:44 PM","1946629",,"Village Breakfast Snob","59 4th Ave ","New York","NY","10003","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-26.97","0.00","0.00","-1.95","0.00","-28.92","CQMAAAAAAB20BYI7fqChUxHwvqGl9zimq9cAAAAB","RESTAURANT_CANNOT_FULFILL_ORDER"
"Marketplace","996231228181576","2025-09-30","11:49:34 PM","Tuesday","11 PM","America/New_York","2025-10-01","12:39:09 AM","6893552","Cozumel Gourmet Deli (Deli & Grocery) - 877 10th Ave","Evan's Burger Empire","877 10th Ave  ","New York","NY","10019","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Order Picked Up By Another Driver","Yes","-15.18","0.00","0.00","-1.35","0.00","-16.53","CQMAAAAAAGkv8HqbruCeeRHwruGJ8HB2F_QAAAAB",
"Marketplace","291531221848259","2025-09-30","06:46:12 PM","Tuesday","6 PM","America/Los_Angeles","2025-09-30","07:19:00 PM","6891848","Thai Thai San Marcos Restaurant - 801 S Twin Oaks Valley Rd","Noodles of Thai","1450 West Mission Rd  ","San Marcos","CA","92069","Corporate","Grubhub Delivery","Loyal","non GH+","Restaurant Issues","Restaurant Is Closed","Yes","-33.98","0.00","0.00","-2.40","0.00","-36.38","CQMAAAAAAGkpSFRhrECeaBHwrEELbCGnja0AAAAB","RESTAURANT_IS_CLOSED"
"Marketplace","501031150390113","2025-09-24","07:14:29 AM","Wednesday","7 AM","America/New_York","2025-09-24","08:34:27 AM","6895664","S & A Gourmet Deli - 240 8th Ave","CJ's Breakfast Sandwich","240 8th Ave  ","New York","NY","10011","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-21.68","0.00","0.00","-1.48","0.00","-23.16","CQMAAAAAAGk4MGiCgsCZNxHwgsEb0HwdsC8AAAAB","Restaurant cannot fulfill order"
"Marketplace","586531142612861","2025-09-23","05:31:05 PM","Tuesday","5 PM","America/New_York","2025-09-23","06:54:00 PM","9820952","1595 Seminole Blvd","Leon's Legendary Pizza","1595 Seminole Blvd  ","Largo","FL","33770","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-20.99","0.00","0.00","-1.12","0.00","-22.11","CQMAAAAAAJXbGHJV6FCYxBHwqFFrqDu_XlcAAAAB","Cancelled by Merchant"
"Marketplace","692531254226417","2025-10-04","06:22:14 PM","Saturday","6 PM","America/New_York","2025-10-04","06:53:00 PM","4518808","1741 1st Avenue","Jen's Burger Blaze","1741 1st Ave.  ","New York","NY","10128","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Cancelled by Merchant","Yes","-15.67","0.00","0.00","-1.04","0.00","-16.71","CQMAAAAAAETzmGBCayChcBHwqyG1oHwcthIAAAAB","Cancelled by Merchant"
"Marketplace","518731161655579","2025-09-25","10:00:35 AM","Thursday","10 AM","America/New_York","2025-09-25","10:59:00 AM","3310082","E 8th St","Grandpa's Omelette Crack","44 E 8th St  ","New York","NY","10003","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-17.16","0.00","0.00","-1.08","0.00","-18.24","CQMAAAAAADKCAqgZvfSaFxHwvfVvh5UYQysAAAAB",
"Marketplace","273831170354871","2025-09-26","01:02:23 PM","Friday","1 PM","America/Chicago","2025-09-26","01:56:25 PM","6898096","Billy Goat Coffee Cafe - 3690 North Mount Juliet Road","Martha's Breakfast Sandwiches","3690 N Mt Juliet Rd  ","Mt. Juliet","TN","37122","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-16.05","0.00","0.00","-1.08","0.00","-17.13","CQMAAAAAAGlBsHyVE_CbAhHwk_GR2-FyaY4AAAAB",
"Marketplace","997331132655807","2025-09-22","02:49:37 AM","Monday","2 AM","America/New_York","2025-09-22","03:25:00 AM","10373776","7th Ave","The Village Breakfast","154 7th Ave  ","New York","NY","10011","Corporate","Grubhub Delivery","Returning","non GH+","Restaurant Issues","Cancelled by Merchant","Yes","-18.16","0.00","0.00","-1.61","0.00","-19.77","CQMAAAAAAJ5KkBgXZcCXgBHwpcFrTbNpl64AAAAB","Cancelled by Merchant"
