"menu_item_category_name","menu_item_name","quantity_sold","item_sales","total_orders","new_customer_quantity_sold","new_customer_item_sales","new_customer_orders","loyal_customer_quantity_sold","loyal_customer_item_sales","loyal_customer_orders"
"Ramen","Tonkotsu Ramen","3","49.65","3","2","32.17","2","0","0.00","0"
"Noodle Bar","The Chicken Katsu Chow Mein","1","20.28","1","1","20.28","1","0","0.00","0"
"Beverages","House Coffee","5","19.90","3","4","15.92","2","0","0.00","0"
"Hot & Cold Beverages","Hot Coffee","1","1.79","1","1","1.79","1","0","0.00","0"
"Grilled Cheese Sammies","Bacon & Grilled Cheese","1","15.28","1","0","0.00","0","0","0.00","0"
"The Omelette Snob","Tuscan Omelette","1","12.99","1","1","12.99","1","0","0.00","0"
"Noodles & Rice","Hong Kong-Style Noodles","1","20.98","1","0","0.00","0","0","0.00","0"
"Dessert Bar","Tiramisu","4","28.26","4","2","14.08","2","1","7.09","1"
"Wicked Wings","Boneless Wings","2","19.58","1","2","19.58","1","0","0.00","0"
"Aperitivo","Chicken Wings","1","17.99","1","0","0.00","0","1","17.99","1"
"Drinks","Juice (16 Oz)","1","3.89","1","0","0.00","0","1","3.89","1"
"The Dessert Stop","Chocolate Cake","1","6.99","1","1","6.99","1","0","0.00","0"
"Paninis","The Russian Panini","1","13.39","1","0","0.00","0","1","13.39","1"
"Panini Bar","The Chicken Fajita Panini","2","37.37","2","2","37.37","2","0","0.00","0"
"Wild Wings","Chipotle Wings","1","14.69","1","0","0.00","0","0","0.00","0"
"The Vegan Juicy Juice Bar","Refreshing Green Juice","1","12.69","1","0","0.00","0","1","12.69","1"
"Beverages","Latte","1","6.28","1","0","0.00","0","0","0.00","0"
"Breakfast Croissant Sandwiches","Bacon, Egg, Cheese Croissant","1","17.48","1","1","17.48","1","0","0.00","0"
"Vegetarian Pasta Dishes","Cacio e Pepe Pasta","2","33.58","2","2","33.58","2","0","0.00","0"
"Breakfast Sandwiches","Turkey, Bacon & Egg Sandwich","1","5.99","1","1","5.99","1","0","0.00","0"
"Fresh Green Salads","Harvest Chicken Salad","1","17.88","1","1","17.88","1","0","0.00","0"
"Perfect Pancakes","Pigs in a Pancake","4","88.11","1","0","0.00","0","4","88.11","1"
"Sides to Go","Plain Paratha","1","2.79","1","1","2.79","1","0","0.00","0"
"Loaded Burritos","Crispy Chicken Burrito","2","33.98","2","1","16.99","1","0","0.00","0"
"Hearty Deli Heroes","Smoked Ham & Cheese Hero","2","20.38","2","1","10.19","1","0","0.00","0"
"New York's Best Sandwiches","The Philly Cheesesteak with Onions and Peppers","1","16.99","1","1","16.99","1","0","0.00","0"
"Chef's Famous Wraps","East Side Wrap","1","14.09","1","0","0.00","0","0","0.00","0"
"House Salad","Greek Salad","1","9.89","1","0","0.00","0","1","9.89","1"
"The Tri-Colors","Chicken Tri-Color Pasta","1","13.39","1","0","0.00","0","0","0.00","0"
"Ramen Spot","Tofu Ramen","1","13.29","1","1","13.29","1","0","0.00","0"
"The Breakfast Sandwiches","The Ham, Egg & Cheese Burger","1","11.29","1","1","11.29","1","0","0.00","0"
"The Dessert Stop","Strawberry Cheesecake","1","6.99","1","1","6.99","1","0","0.00","0"
"Pancake Place","French Toast","1","9.09","1","0","0.00","0","0","0.00","0"
"Italian Desserts","Chocolate Mousse Cake","1","9.89","1","0","0.00","0","0","0.00","0"
"Slice of Cake","Tiramisu","1","12.59","1","1","12.59","1","0","0.00","0"
"Loaded Fries","Bacon Cheese Fries","1","16.79","1","1","16.79","1","0","0.00","0"
"Bosscat Wings","Bosscat Hot Wings","1","16.79","1","1","16.79","1","0","0.00","0"
"Good Morning Breakfast Wraps","Cali Breakfast Wrap","1","11.89","1","1","11.89","1","0","0.00","0"
"Pastrami Spot","Classic Pastrami Sandwich","1","16.98","1","1","16.98","1","0","0.00","0"
"Fresh Made Fruit Smoothies","Tropical Fiesta Smoothie","3","25.74","3","2","17.16","2","0","0.00","0"
"Beverages","Soda","1","4.19","1","1","4.19","1","0","0.00","0"
"Savory Fries","Loaded Steak Fries","1","17.18","1","1","17.18","1","0","0.00","0"
"Breakfast Burritos","Texas Breakfast Burrito","2","33.98","2","0","0.00","0","1","16.99","1"
"Hot Sammiches","Grilled Chicken Sandwich","2","32.56","2","0","0.00","0","0","0.00","0"
"Fried Rice Spot","House Fried Rice","4","64.36","4","0","0.00","0","3","48.27","3"
"Dessert Bar","Cinnamon Sticks","1","7.79","1","1","7.79","1","0","0.00","0"
"Classic Homestyle Entrees","Roast 1/2 Spring Chicken with Stuffing","1","19.99","1","0","0.00","0","0","0.00","0"
"The Desserts","Lemon Cake","1","9.79","1","1","9.79","1","0","0.00","0"
"Calzone Corner","Pepperoni Calzone","1","12.99","1","0","0.00","0","0","0.00","0"
"Meal-On-The Go- Breakfast Wraps","Bacon, Egg & Cheese Breakfast Wrap","3","29.37","3","1","9.79","1","0","0.00","0"
"Fried Seafood
Bar","The Fried Catfish","1","25.68","1","1","25.68","1","0","0.00","0"
"Salads","Antipasto Salad","1","23.49","1","1","23.49","1","0","0.00","0"
"Beverages","Soda Can","6","13.74","5","1","2.19","1","0","0.00","0"
"Sides","Cheese Nachos","1","5.99","1","0","0.00","0","0","0.00","0"
"Sides","Cheese Garlic Bread","1","9.89","1","0","0.00","0","0","0.00","0"
"Tasty Street Tacos","Asada Tacos","2","6.98","1","2","6.98","1","0","0.00","0"
"Smokin' Breakfast Platters","Bacon Breakfast Platter","1","12.59","1","1","12.59","1","0","0.00","0"
"Sides","Collard Greens","4","25.45","3","2","13.47","2","0","0.00","0"
"Perfect Pancakes","Bacon French Toast Platter","1","15.39","1","1","15.39","1","0","0.00","0"
