"menu_item_category_name","menu_item_name","quantity_sold","item_sales","total_orders","new_customer_quantity_sold","new_customer_item_sales","new_customer_orders","loyal_customer_quantity_sold","loyal_customer_item_sales","loyal_customer_orders"
"Nonna Pasta Bowl","Chicken Florentine Penne","1","22.38","1","1","22.38","1","0","0.00","0"
"Sides","Potato Salad","3","18.57","3","1","7.69","1","0","0.00","0"
"The Pasta Bowl","Sausage and Peppers Ziti","2","45.86","2","2","45.86","2","0","0.00","0"
"French Toast","Classic French Toast","1","9.89","1","0","0.00","0","0","0.00","0"
"Drinks","Iced Tea","1","4.19","1","1","4.19","1","0","0.00","0"
"Vegetarian Pasta Dishes","Classic Spaghetti Marinara","2","38.46","1","2","38.46","1","0","0.00","0"
"Omelettes","Vegetable Omelette","2","28.36","2","1","14.18","1","0","0.00","0"
"Sushi Rollzzz","California Roll","2","18.38","2","1","9.19","1","0","0.00","0"
"Hot & Iced Tea ","Brown Sugar Milk Tea with Boba","4","33.96","2","0","0.00","0","0","0.00","0"
"Chicken Wings and Tenders","Chicken Tenders & Biscuit","1","8.39","1","1","8.39","1","0","0.00","0"
"Pasta Specials","Vodka Sauce and Broccoli Linguine","2","75.96","1","0","0.00","0","0","0.00","0"
"Drinks","Fruit Juice","1","4.89","1","1","4.89","1","0","0.00","0"
"Fresh Made Fruit Smoothies","Orange Ana Smoothie","1","7.09","1","1","7.09","1","0","0.00","0"
"Smoothies","Piña Colada","1","13.99","1","0","0.00","0","0","0.00","0"
"Vegetarian Pasta Bar","Four Cheese Penne","1","23.17","1","1","23.17","1","0","0.00","0"
"Let's Get Started","Baked Potato","1","4.99","1","1","4.99","1","0","0.00","0"
"The Best Biryanis","Chicken Biryani","3","58.96","3","1","17.99","1","1","22.98","1"
"Drinks","Diet Coke Can","3","6.27","2","1","2.09","1","0","0.00","0"
"Omelettes","2 Eggs Any Style","1","12.96","1","0","0.00","0","0","0.00","0"
"Sweet Spoonfuls","Banana Pudding (16 oz)","2","16.78","2","0","0.00","0","1","8.39","1"
"Drinks","Hot Chocolate","2","8.17","2","1","4.18","1","0","0.00","0"
"Great Cakes","Carrot Cake","1","11.99","1","0","0.00","0","0","0.00","0"
"Toast","Challah French Toast","1","9.19","1","0","0.00","0","1","9.19","1"
"French Toast","Bacon French Toast","1","11.99","1","0","0.00","0","0","0.00","0"
"Pasta Bowls","Spaghetti & Meatballs","1","16.79","1","0","0.00","0","1","16.79","1"
"Breakfast Burrito Bar","Burrito Bowl","1","13.48","1","1","13.48","1","0","0.00","0"
"Smoothies","Almond Lover Smoothie","1","11.18","1","1","11.18","1","0","0.00","0"
"Sides","Classic Nachos","1","14.98","1","0","0.00","0","0","0.00","0"
"Sides","Corn Dog","4","11.16","1","0","0.00","0","4","11.16","1"
"French Toast Shop","Plain French Toast (3 Pieces)","3","33.87","3","0","0.00","0","2","22.58","2"
"Dessert Bar","Churro","1","4.49","1","1","4.49","1","0","0.00","0"
"Pancake Bar","Buttermilk Pancake Deluxe","1","7.09","1","0","0.00","0","0","0.00","0"
"Breakfast Bagel Sandwiches","Mushroom & Swiss Bagel Sandwich","1","8.49","1","1","8.49","1","0","0.00","0"
"Griddle Favorites","Buttermilk Pancakes","3","24.86","3","3","24.86","3","0","0.00","0"
"Milkshake Bar","Pina Colada Milkshake","1","9.79","1","0","0.00","0","0","0.00","0"
"Chef's Specialty Salads","Sweet Potato & Beet Harvest Salad","1","15.39","1","0","0.00","0","0","0.00","0"
"Hot Hero Sandwiches","The Chopped Cheese Hero Sandwich","2","39.98","2","1","19.99","1","1","19.99","1"
"Salads","Build Your Own Salad","1","12.99","1","0","0.00","0","0","0.00","0"
"Kathi Rolls","Chicken Kabob Kathi Roll (1 pc)","2","27.96","1","2","27.96","1","0","0.00","0"
"Indian Fushion Wraps","Paneer Tikka Masala Roti Wrap","3","12.57","3","1","4.19","1","2","8.38","2"
"Panini Bar","The Genovese Panini","1","15.49","1","1","15.49","1","0","0.00","0"
"Little Italy Pasta Bar","Chicken Tortellini Pasta","2","32.18","2","1","16.09","1","0","0.00","0"
"Extra Bites","Cream Cheese Rangoon (6 Pcs)","2","14.18","2","1","7.09","1","0","0.00","0"
"Hearty Deli Heroes","Chicken Parmesan Hero","1","12.28","1","0","0.00","0","1","12.28","1"
"Shakes On Deck","Banana Milkshake","3","25.47","2","2","16.98","1","0","0.00","0"
"Artisan Sandwich Combos","Remington Sandwich with Chips","1","16.89","1","0","0.00","0","1","16.89","1"
"Muffin Mania ","Blueberry Muffin","1","4.59","1","0","0.00","0","0","0.00","0"
"Fresh Salads & Wraps","Create Your Own Salad","1","9.89","1","1","9.89","1","0","0.00","0"
"Saucy Stir-Fries","Sesame Chicken Bites","1","35.27","1","1","35.27","1","0","0.00","0"
"Breakfast Specials","Breakfast Burrito","6","66.54","4","5","55.45","3","0","0.00","0"
"Dessert","Sliced Carrot Cake","1","7.09","1","1","7.09","1","0","0.00","0"
"Two Hand Burgers","Southern Slaw Burger","1","22.48","1","1","22.48","1","0","0.00","0"
"Coffee and Tea","Drip Frappe","1","5.99","1","1","5.99","1","0","0.00","0"
"Cheesy Grilled Cheese","Bacon Grilled Cheese","1","10.00","1","1","10.00","1","0","0.00","0"
"Burgers","Monster Burger","2","33.80","2","0","0.00","0","0","0.00","0"
"Best Ever Burgers","Burger from Hell (8 oz)","2","24.57","2","2","24.57","2","0","0.00","0"
"Smoothie Bar","Banana Blast","2","19.78","2","0","0.00","0","2","19.78","2"
"Sides","Yogurt Muffin","1","4.19","1","1","4.19","1","0","0.00","0"
"Garden Green Salads","Chicken Cobb Salad","1","16.79","1","1","16.79","1","0","0.00","0"
"Beverages","Ginger Ale Can","1","2.19","1","0","0.00","0","1","2.19","1"
"Mouthwatering Cheesesteaks","The Original Philly Cheesesteak Sandwich","1","15.38","1","0","0.00","0","0","0.00","0"
"The Pasta Bowl","Spaghetti with Fresh Basil, Mozzarella, and Tomato","2","41.97","2","2","41.97","2","0","0.00","0"
"Omelettes Platter","Western Omelette Platter","1","14.09","1","1","14.09","1","0","0.00","0"
"Hot Off the Griddle","Pancakes, Eggs, and Meat","1","14.09","1","1","14.09","1","0","0.00","0"
"Burger Bar","British Burger","1","16.49","1","0","0.00","0","0","0.00","0"
"Sides","Baba Ganoush","1","6.39","1","1","6.39","1","0","0.00","0"
"Sides","Chicken Fingers & Fries","3","41.97","3","0","0.00","0","3","41.97","3"
"Smoothie Bar","Soy Energy Smoothie","3","35.04","3","1","11.68","1","1","11.68","1"
"Sides to Grab","Scallion Pancake","1","8.39","1","1","8.39","1","0","0.00","0"
"Between the Bun","Avocado Bacon Burger","1","16.78","1","0","0.00","0","1","16.78","1"
"Gooksoo Noods","Spicy Pork and Rice Cake Gooksoo","2","41.36","1","2","41.36","1","0","0.00","0"
"The Omelette Snob","The California Omelette","1","13.99","1","0","0.00","0","0","0.00","0"
"The Pasta Bowl","Sausage and Mushroom Alfredo","2","44.77","2","2","44.77","2","0","0.00","0"
"Kathi Rolls","Chicken Vindaloo Kati Roll (1)","1","11.99","1","1","11.99","1","0","0.00","0"
"Two Hand Sandwiches","Chicken Bacon Ranch Sandwich","1","22.07","1","0","0.00","0","0","0.00","0"
"Breakfast Bagel Sandwiches","Spinach, Egg, & Feta Bagel","1","13.99","1","1","13.99","1","0","0.00","0"
"The Bakery","Cheese Danish","1","4.29","1","1","4.29","1","0","0.00","0"
"Fresh Green Salads","Chicken Caprese Salad","2","20.38","2","2","20.38","2","0","0.00","0"
"Panini Sandwiches","Cuban Panini","1","13.99","1","1","13.99","1","0","0.00","0"
"Ice Cream","Classic Chocolate Ice Cream","1","7.18","1","1","7.18","1","0","0.00","0"
"Panini Sandwiches","Meatless Panini","1","16.08","1","1","16.08","1","0","0.00","0"
"Drinks","Diet Dr Pepper","1","2.79","1","0","0.00","0","0","0.00","0"
"Wraps","Sunset Wrap","1","11.99","1","0","0.00","0","1","11.99","1"
"Sides","Chips & Salsa","1","4.29","1","0","0.00","0","0","0.00","0"
"Breakfast Sandwiches","Pastrami, Egg & Cheese Sandwich","1","8.49","1","0","0.00","0","0","0.00","0"
"Breakfast Sandwiches","Everything Bagel with Cream Cheese","1","8.18","1","0","0.00","0","1","8.18","1"
"Pressed
Panini's","New Yorker Panini","1","11.88","1","1","11.88","1","0","0.00","0"
"Decadent Desserts","Ghirardelli Brownie","1","4.89","1","1","4.89","1","0","0.00","0"
"Loaded Cheesesteaks","Bacon Philly Cheesesteak","2","36.38","2","0","0.00","0","0","0.00","0"
"Daybreak Sandos","Ham, Egg & Cheese Breakfast Sandwich","1","9.89","1","0","0.00","0","0","0.00","0"
"Catering","Fresh Bakery Cookie","1","1.39","1","1","1.39","1","0","0.00","0"
"Dessert","Banana Crumb Muffin","2","7.18","2","1","3.59","1","0","0.00","0"
"Grilled Cheese Sandwiches","Grilled American Cheese Sandwich","16","81.02","11","4","19.56","3","5","24.45","3"
"Fresh Wraps","The Chicken Caesar Wrap","2","28.18","2","2","28.18","2","0","0.00","0"
"Noodles","Shrimp Chow Mein","1","15.39","1","1","15.39","1","0","0.00","0"
"Delicious Calzones!","Classic Calzone","2","21.18","1","0","0.00","0","0","0.00","0"
"Burgers","Bacon Ranch Burger","2","32.87","2","1","20.28","1","0","0.00","0"
"Best Breakfast Burritos ","Chilaquiles Burrito","1","11.29","1","1","11.29","1","0","0.00","0"
"Drinks","Freshly Squeezed Orange Juice","1","6.98","1","0","0.00","0","1","6.98","1"
"Sides","Fries","7","44.19","6","3","20.47","3","0","0.00","0"
"Slice of Cake","Red Velvet Cake","2","25.18","2","1","12.59","1","0","0.00","0"
"Breakfast Sandwiches","Crispy Avocado & Egg Breakfast Sandwich","3","37.05","3","1","15.38","1","0","0.00","0"
"Soda Corner","Soda Can","2","4.18","2","0","0.00","0","0","0.00","0"
"Appetizers","Cheez Whiz Fries","1","7.09","1","1","7.09","1","0","0.00","0"
"The Linguines","Make Your Own Linguine Pasta","3","37.55","3","1","10.59","1","0","0.00","0"
"Between the Bun","Bacon Ranch Burger","1","9.79","1","0","0.00","0","1","9.79","1"
"Perfect Pancakes","Bacon Pancake Platter","2","34.97","2","1","19.58","1","0","0.00","0"
"Drinks","Diet Pepsi Bottle (20 oz)","2","9.98","2","1","4.99","1","0","0.00","0"
"Griddle Favorites","Home Fries & Bacon Breakfast Platter","2","49.35","1","2","49.35","1","0","0.00","0"
"Breakfast Sandwiches","Breakfast Burrito with Steak","4","53.65","4","2","28.27","2","2","25.38","2"
"Sunrise Breakfast Sammies","Bacon, Egg, and Cheese Sandwich","3","32.15","2","1","9.79","1","0","0.00","0"
"Juicy Burgers","Guacamole Beef Burger","1","19.58","1","1","19.58","1","0","0.00","0"
"Hot Subs","Meatball Sub","1","14.09","1","0","0.00","0","0","0.00","0"
"Dessert Bar ","Oreo Mousse Cake","1","10.99","1","1","10.99","1","0","0.00","0"
"Coffee Bar","Brewed Iced Coffee","2","10.36","2","0","0.00","0","0","0.00","0"
"Best EVER Breakfast Omelettes","Mushroom and Swiss Cheese Omelette","1","29.48","1","0","0.00","0","0","0.00","0"
"Amazing Wraps","Filet Mignon Beef Kabob Wrap","1","24.98","1","0","0.00","0","0","0.00","0"
"Buttermilk Fried Chicken Tenders","Original Chicken Tenders","1","13.99","1","0","0.00","0","0","0.00","0"
"Bagelwich Sandwiches","Bagelwich Avocado Breakfast Sandwich","1","17.88","1","1","17.88","1","0","0.00","0"
"Hearty Deli Heroes","Honey Turkey Hero","2","27.36","2","2","27.36","2","0","0.00","0"
"Beverages","Chocolate Milk","1","3.68","1","1","3.68","1","0","0.00","0"
"Sides","Cream Cheese Rangoon (6
Pcs)","1","7.09","1","0","0.00","0","0","0.00","0"
"The Griddle","Stuffed French Toast","1","19.58","1","1","19.58","1","0","0.00","0"
"The Salad God","Asian Chop Salad","1","11.29","1","0","0.00","0","0","0.00","0"
"Panini Bar","The No Meat Please Panini","1","17.68","1","1","17.68","1","0","0.00","0"
"Hot Off the Griddle Pancakes","The Chocolate Chip Pancakes","1","15.99","1","1","15.99","1","0","0.00","0"
"Fresh Omelettes","Greek Omelette","1","17.03","1","0","0.00","0","0","0.00","0"
"Fresh Made Fruit Smoothies","Sweet Greens Smoothie","1","8.58","1","1","8.58","1","0","0.00","0"
"Cheesesteaks","Western Cheesesteak ","1","15.08","1","0","0.00","0","0","0.00","0"
"Sides to Grab","Honey Grilled BBQ Pork","1","9.79","1","1","9.79","1","0","0.00","0"
"Beverages","Tropicana Juice (16 oz)","1","4.99","1","1","4.99","1","0","0.00","0"
"Fresh Smoothies","Tropical Green Bliss Smoothie","1","9.79","1","1","9.79","1","0","0.00","0"
"All Natural Gluten Free Pancakes, Waffle and Toast","Golden Brown Gluten Free Pancakes","1","16.49","1","0","0.00","0","0","0.00","0"
"Crispy Chicken","Boneless Chicken Wings","1","16.98","1","1","16.98","1","0","0.00","0"
"Chicken Sandwiches","Chicken Parmigiana Sandwich","1","18.59","1","1","18.59","1","0","0.00","0"
"Quesadilla Corner","Al Pastor Quesadilla","1","16.19","1","1","16.19","1","0","0.00","0"
"The Salad Bar","Chicken Beet It Salad","1","16.78","1","1","16.78","1","0","0.00","0"
"Between the Bun","Philly Burger","1","11.89","1","1","11.89","1","0","0.00","0"
"Hefty Handhelds","Philly Burger","1","12.59","1","0","0.00","0","1","12.59","1"
"Best Ever Burgers","Cheeseburger (8 oz.)","3","47.53","3","1","20.96","1","0","0.00","0"
"Calzone Corner","Meat Lovers Calzone","3","68.27","3","2","45.88","2","0","0.00","0"
"The Desserts","Apple Pie","2","19.98","2","2","19.98","2","0","0.00","0"
"Made to Order Omelets","Veggie Omelet","3","33.27","2","3","33.27","2","0","0.00","0"
"Freshly Baked Stromboli","Italian Stromboli","1","23.78","1","0","0.00","0","0","0.00","0"
"From the Griddle","Pancakes or French Toast with Bacon, Ham or Sausage","1","9.79","1","1","9.79","1","0","0.00","0"
"The Vegan Handhelds","Vegan Fillet No Fish Sandwich","4","76.05","4","2","42.27","2","1","16.89","1"
"Desserts","Oreo Mousse Cake","3","32.97","3","1","10.99","1","2","21.98","2"
"Dessert","Chocolate Pudding","1","3.59","1","1","3.59","1","0","0.00","0"
"Beverages","Diet Coke (Can)","1","4.19","1","1","4.19","1","0","0.00","0"
"The Salad God","Build Your Own Salad","1","11.29","1","1","11.29","1","0","0.00","0"
"Beverages","Diet Coke Can","9","22.21","6","3","9.17","2","4","8.66","3"
"Meal-On-The Go- Breakfast Wraps","Guacamole Bacon Breakfast Wrap","2","19.58","2","2","19.58","2","0","0.00","0"
"Beverages","Hot Chocolate","1","5.59","1","1","5.59","1","0","0.00","0"
"The Linguines","Chicken Linguine Pasta","6","103.82","6","2","37.03","2","2","35.54","2"
"Home Style Pancakes","Chocolate Chip & Banana Pancakes","2","29.47","2","1","16.48","1","0","0.00","0"
"Specialty Wraps","Grilled Chicken Wrap","1","19.98","1","1","19.98","1","0","0.00","0"
"Sandwiches","Grilled Chicken Sandwich","2","22.10","1","0","0.00","0","0","0.00","0"
"Sunrise Sides","Tater Tots","2","11.18","2","2","11.18","2","0","0.00","0"
"Drinks","20 Oz Soda","5","10.45","4","2","4.18","2","1","2.09","1"
"Gourmet Salad Sensations","Chicken Salad Platter","2","30.98","2","0","0.00","0","2","30.98","2"
"The Lazy Burro","Chicken Fajita Burrito","4","39.56","3","0","0.00","0","0","0.00","0"
"Chicken Tenders","Tenders Only","2","25.86","2","1","9.08","1","0","0.00","0"
"Drinks","Coke Bottle (20 oz)","1","3.99","1","0","0.00","0","0","0.00","0"
"Slice of Cake","Cheesecake","2","16.78","1","2","16.78","1","0","0.00","0"
"Customizable Omelette Platters","Turkey Omelette","1","14.69","1","1","14.69","1","0","0.00","0"
"Sandwich & Wrap Station","Tuna Melt","1","22.37","1","1","22.37","1","0","0.00","0"
"Dessert Bar","Cheesecake","3","21.27","2","1","7.09","1","0","0.00","0"
"The Lazy Burro","Surf & Turf Burrito (Steak & Shrimp)","1","9.89","1","0","0.00","0","0","0.00","0"
"Veggie Paninis","Eggplant Parmigiana Panini","1","28.97","1","1","28.97","1","0","0.00","0"
"Crazy Shakes","Black & White Shake","1","11.09","1","1","11.09","1","0","0.00","0"
"Desserts","Baklava (2 pc)","1","7.99","1","0","0.00","0","0","0.00","0"
"Snacks","Corn Dog","1","2.89","1","1","2.89","1","0","0.00","0"
"Omelettes","The Mexican Omelette","1","9.79","1","1","9.79","1","0","0.00","0"
"Signature Pie Shakes","Cherry Pie Milkshake","1","12.59","1","1","12.59","1","0","0.00","0"
"The Omelettes","Classic Omelette with Cheddar & Bacon or Ham","1","15.08","1","0","0.00","0","0","0.00","0"
"Sides","Vegetable Spring Rolls (5 pcs)","1","6.99","1","0","0.00","0","1","6.99","1"
"Beverages","Tropicana Juice","1","2.89","1","0","0.00","0","0","0.00","0"
"Calzone Corner","Ham Calzone","1","12.59","1","1","12.59","1","0","0.00","0"
"Super Sweets!","Cheese Danish","1","4.59","1","0","0.00","0","0","0.00","0"
"Breakfast Quesadillas","Steak, Egg & Cheese Quesadilla","1","15.29","1","1","15.29","1","0","0.00","0"
"Nonna Pasta Bowl","Garlic Mushroom Penne","1","40.56","1","1","40.56","1","0","0.00","0"
"Fresh Salads","Garden House Salad","1","12.69","1","1","12.69","1","0","0.00","0"
"Refreshing Beverages","Soda","1","2.79","1","0","0.00","0","0","0.00","0"
"Vegan Breakfast All Day","Fresh Roll & Vegan Butter","1","4.29","1","0","0.00","0","0","0.00","0"
"Charlie's Little Chicken","Chicken Tenders","1","16.78","1","0","0.00","0","0","0.00","0"
"Specialty Pastas","Aglio E Olio Pasta","1","24.88","1","1","24.88","1","0","0.00","0"
"The Catch","Fish and Chips","3","77.97","2","1","25.99","1","2","51.98","1"
"Gyros","Lamb Gyro Platter","1","15.39","1","1","15.39","1","0","0.00","0"
"Farm Fresh Salads","Chicken Caesar Salad","1","13.99","1","0","0.00","0","0","0.00","0"
"Noodle Bar","The Teriyaki Chow Mein","5","69.23","5","0","0.00","0","4","55.94","4"
"Made to Order Omelets","Turkey Avo Swiss Omelet","1","10.19","1","1","10.19","1","0","0.00","0"
"Sides","Mac & Cheese","2","15.58","2","1","7.79","1","0","0.00","0"
"Drinks","Diet Coke (Can)","2","3.48","2","1","2.09","1","1","1.39","1"
"The Cheesiest Grills","Veggie Grilled Cheese","1","11.19","1","1","11.19","1","0","0.00","0"
"Pasta Bar","Fettuccine Alfredo with Chicken and Parmesan","3","61.26","3","1","16.19","1","0","0.00","0"
"Juices on Juices","Detox Juice","4","62.32","4","1","15.58","1","0","0.00","0"
"Greenhouse Salads","Classic Caesar Salad","1","10.59","1","1","10.59","1","0","0.00","0"
"Snacks","Chicken Tenders","1","9.99","1","0","0.00","0","0","0.00","0"
"Sides","Side of Sauce","1","3.49","1","1","3.49","1","0","0.00","0"
"Oven Baked Pasta","Meat Lasagna","1","20.99","1","0","0.00","0","0","0.00","0"
"Omelette Bar","Eastern Omelette","1","7.79","1","0","0.00","0","0","0.00","0"
"Hero Sandwiches","Cajun Chicken Hero","1","11.29","1","0","0.00","0","0","0.00","0"
"The Sides","Chicken Dumplings","1","6.99","1","0","0.00","0","1","6.99","1"
"Cold Drinks","Iced Coffee","2","11.56","2","0","0.00","0","2","11.56","2"
"Smoothie Bar","Mango Madness Smoothie","1","11.68","1","0","0.00","0","1","11.68","1"
"Crispy Chicken Sandwiches","Cheddar and Jalapeno Crispy Chicken Sandwich","2","29.38","2","0","0.00","0","2","29.38","2"
"Market Fresh Salads","Baby Kale Lemon Chicken Caesar Salad","2","30.98","2","0","0.00","0","2","30.98","2"
"Sides","Steak and Cheese Fries","1","15.39","1","0","0.00","0","0","0.00","0"
"Breakfast Sides","Turkey Bacon","4","16.76","2","4","16.76","2","0","0.00","0"
"Sides","Pepperoni Roll","3","4.17","3","0","0.00","0","3","4.17","3"
"Sides","Classic Fries","1","7.39","1","0","0.00","0","1","7.39","1"
"Sauces & Dippers","Dressings","1","0.79","1","1","0.79","1","0","0.00","0"
"The Sides","Side of Ham","1","1.49","1","0","0.00","0","0","0.00","0"
"Signature Smash Burgers","Bacon Cheese Smashburger","1","26.58","1","1","26.58","1","0","0.00","0"
"Fresh Squeezed Juice Bar","Carrot Juice","2","31.98","1","2","31.98","1","0","0.00","0"
"Nigiri & Sashimi","Nigiri Combo","1","15.49","1","1","15.49","1","0","0.00","0"
"The Drinks","Orange Juice","1","3.49","1","1","3.49","1","0","0.00","0"
"Luigi's Sides","Garlic Bread","1","5.99","1","0","0.00","0","0","0.00","0"
"Snobby Chicken Wings","Mango Habanero Bone-In Chicken Wings","1","9.09","1","1","9.09","1","0","0.00","0"
"Classic Side Orders","Mozzarella Sticks","1","8.39","1","1","8.39","1","0","0.00","0"
"Home Style Pancakes","Fruity Mix Pancakes w/ Banana, Blueberry, and Strawberry","1","12.99","1","1","12.99","1","0","0.00","0"
"Breakfast Sandwiches","Turkey Bacon, Egg & Cheese Sandwich","1","9.98","1","0","0.00","0","0","0.00","0"
"Small Bites","Watermelon Fruit Cup","2","12.78","1","0","0.00","0","0","0.00","0"
"Large Orders","Chicken Tikka Kati Roll","1","28.98","1","1","28.98","1","0","0.00","0"
"Satisfying Sides","Rosemary Garlic Parmesan Fries","1","4.19","1","1","4.19","1","0","0.00","0"
"Sides","Shrimp Egg Roll","1","7.69","1","0","0.00","0","0","0.00","0"
"Fresh Outta Philly","Classic Philly Cheesesteak","1","9.89","1","1","9.89","1","0","0.00","0"
"Side Orders","Coleslaw","1","4.99","1","1","4.99","1","0","0.00","0"
"House of Bánh Mì","Lemongrass Vegetarian Pork Bánh Mì","1","14.79","1","0","0.00","0","0","0.00","0"
"Italian Specials","Baked Cheese Manicotti Parmigiana","1","16.89","1","0","0.00","0","0","0.00","0"
"Quest for Quesadillas","Cheese Steak Quesadilla","2","25.98","1","0","0.00","0","0","0.00","0"
"Breakfast Burritos","Chorizo Breakfast Burrito","1","12.99","1","0","0.00","0","0","0.00","0"
"Calzone","Cheese Calzone","1","31.98","1","0","0.00","0","0","0.00","0"
"Panini Bar","The Eggplant Parmigiana Panini","1","18.38","1","0","0.00","0","0","0.00","0"
"Vegetarian Sandwiches","The Mozzarella Sandwich","1","4.58","1","0","0.00","0","1","4.58","1"
"Best Ever Burgers","The Killer Burger","1","11.19","1","0","0.00","0","0","0.00","0"
"Sides","Coleslaw Salad","1","7.69","1","1","7.69","1","0","0.00","0"
"Wing Bar","The Cajun Wings","1","22.27","1","0","0.00","0","1","22.27","1"
"Pasta Bar","Ziti Bolognese and Mozzarella","1","16.19","1","1","16.19","1","0","0.00","0"
"Pizza Bar","The Veggie Pizza","1","21.08","1","1","21.08","1","0","0.00","0"
"Sides","Naan (1 pc)","3","11.97","3","2","7.98","2","0","0.00","0"
"Chef Stella's Pancakes","Chocolate Chip Buttermilk Pancakes","10","102.90","10","6","61.74","6","1","10.29","1"
"Sides","Edamame","1","5.69","1","1","5.69","1","0","0.00","0"
"Pressed Paninis","Smoky Chipotle Turkey Panini","2","25.18","2","2","25.18","2","0","0.00","0"
"Griddle","Pancakes (3)","3","30.57","3","0","0.00","0","0","0.00","0"
"Dessert","Strawberry Cheesecake","1","11.99","1","1","11.99","1","0","0.00","0"
"The Dessert Stop","Slice of Cake","2","13.98","2","1","6.99","1","0","0.00","0"
"Muffin Bar","French Vanilla Chip Muffin","2","12.98","2","2","12.98","2","0","0.00","0"
"Badri's Biryanis","Hyderabadi Goat Biryani","1","16.79","1","1","16.79","1","0","0.00","0"
"Meal-On-The Go- Breakfast Wraps","Sausage, Egg & Cheese Breakfast Wrap","3","31.46","3","2","21.67","2","0","0.00","0"
"Sunrise Breakfast Sammies","Sausage, Egg, & Cheese Sandwich","1","6.98","1","0","0.00","0","0","0.00","0"
"O.G. Phillies","Classic Cheesesteak","4","66.52","4","1","16.98","1","0","0.00","0"
"Sides","2 Eggs Any Style","1","12.99","1","1","12.99","1","0","0.00","0"
"Gourmet Fluffy French Toast","Challah French Toast","2","23.47","2","1","13.48","1","0","0.00","0"
"Bagel Sammies","Hummus Veggie Bagel","1","12.59","1","1","12.59","1","0","0.00","0"
"Sunrise Breakfast Sandwiches","Stacked Ham & Cheese Breakfast Sandwich","1","9.78","1","1","9.78","1","0","0.00","0"
"Artisan Sandwich Combos","Picasso Sandwich with Chips","1","14.19","1","0","0.00","0","0","0.00","0"
"House Signature Sandwiches","Turkey Club Sandwich","2","22.47","2","0","0.00","0","1","12.28","1"
"Starters","Sweet Potatoes","1","5.69","1","1","5.69","1","0","0.00","0"
"Sunrise Breakfast Sandwiches","BLT & C Egg Sandwich","2","27.97","2","0","0.00","0","2","27.97","2"
"Sides","Side of Creamy Ranch","1","0.99","1","1","0.99","1","0","0.00","0"
"Fresh Wraps","The Honey Bunny Wrap","1","14.09","1","1","14.09","1","0","0.00","0"
"Between the Bun","Cowboy Burger","1","12.98","1","0","0.00","0","1","12.98","1"
"Chef's Specialty Salads","Grilled Chicken Pineapple Salad","1","15.39","1","1","15.39","1","0","0.00","0"
"Wild Wings","Classic Chicken Wings","2","24.58","2","2","24.58","2","0","0.00","0"
"Dessert","Carrot Cake","1","5.59","1","1","5.59","1","0","0.00","0"
"Charlie's Little Chicken","Chicken Wings","1","18.18","1","1","18.18","1","0","0.00","0"
"Breakfast Sandwiches","3 Egg White Wrap","1","13.48","1","1","13.48","1","0","0.00","0"
"The Lazy Burro","Grilled Steak Burrito","1","12.48","1","0","0.00","0","0","0.00","0"
"Cheesy Quesadillas","Chipotle Chicken Avocado Quesadilla","1","13.99","1","0","0.00","0","1","13.99","1"
"Aperitivo","Mozzarella Sticks","1","15.99","1","0","0.00","0","0","0.00","0"
"Freshly Baked Calzone","Large Margherita Calzone","1","27.99","1","1","27.99","1","0","0.00","0"
"The Lighter Side","Sliced Oven Roasted Turkey","1","13.99","1","0","0.00","0","0","0.00","0"
"Badri's Biryanis","Vegetarian Biryani","3","41.24","3","2","28.65","2","0","0.00","0"
"Sides","Chips with Salsa and Guacamole","1","11.99","1","1","11.99","1","0","0.00","0"
"Daybreak Breakfast
Sandwiches","Smoky Turkey Bacon
& Cheddar Breakfast
Sandwich","1","11.89","1","1","11.89","1","0","0.00","0"
"Protein Smoothies","Peanut Butter Lover Smoothie","1","9.28","1","1","9.28","1","0","0.00","0"
"Burger Bar","California Turkey Burger","2","35.16","2","1","16.49","1","0","0.00","0"
"Salad Bar","The Garden Salad","1","14.09","1","1","14.09","1","0","0.00","0"
"Salad Bar","Caesar Salad","1","9.89","1","0","0.00","0","0","0.00","0"
"Made to Order Omelettes","Mushroom, Swiss & Onion Omelette","1","11.89","1","1","11.89","1","0","0.00","0"
"Salad Bar","Steak Salad","1","20.38","1","1","20.38","1","0","0.00","0"
"American Bowls","Veggie Bowl","1","15.39","1","1","15.39","1","0","0.00","0"
"Snacks","French Fries","2","15.98","2","0","0.00","0","1","7.99","1"
"Beverages","Coke Zero","1","4.29","1","0","0.00","0","0","0.00","0"
"Craveable Cheese
Steaks","Cheese Steak Sandwich","1","12.29","1","1","12.29","1","0","0.00","0"
"Gourmet Bowls","Orange Chicken Bowl","4","55.05","4","3","43.06","3","0","0.00","0"
"Grilled Cheese Corner  ","Grilled Cheese Sandwich ","6","29.34","2","0","0.00","0","0","0.00","0"
"Smoothie Station","Banana Oat Smoothie","11","152.50","6","1","12.78","1","10","139.72","5"
"Badri's Curries","Tikka Masala","2","20.27","2","1","10.48","1","0","0.00","0"
"Chef Stella's Pancakes","Strawberry Challah French Toast","5","51.45","5","4","41.16","4","0","0.00","0"
"Penny's Specials","Avocado Bagel Sandwich Penny's Special","3","22.17","3","0","0.00","0","3","22.17","3"
"Italian Pasta Bar","Chicken Alfredo","3","51.76","3","3","51.76","3","0","0.00","0"
