"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2025-09-22","2025-10-05","2900330",,"Cheesecake And Dessert Bar (Polk St)","1338 Polk St  ","San Francisco","CA","94109","5","119.87","0.00","0.00","8.61","0.00","128.48","-19.64","-13.10","0.00","-5.17","0.00","-20.00","70.57"
"2025-09-22","2025-10-05","6893832","Aroma Pizza & Pasta - 20491 Alton Pkwy","Firenze Pasta Ristorante","20491 Alton Pkwy  ","Lake Forest","CA","92610","4","98.33","0.00","0.00","5.36","0.00","103.69","-14.75","-9.84","0.00","-4.09","0.00","-9.00","66.01"
"2025-09-22","2025-10-05","2848424",,"The Pasta Brothers (Bedford Ave)","265 Bedford Ave  ","Brooklyn","NY","11211","6","121.70","0.00","0.00","8.74","0.00","130.44","-18.24","-12.18","0.00","-5.07","0.00","-23.26","71.69"
"2025-09-22","2025-10-05","4511000","5993 Broadway","Sal's Smoothie Spot","5993 Broadway  ","Bronx","NY","10471","1","12.78","0.00","0.00","0.51","0.00","13.29","-1.92","-1.28","0.00","-0.71","0.00","0.00","9.38"
"2025-09-22","2025-10-05","7097528","East Side Deli","Sunrise Coffee Express","1424 Lexington Ave  ","New York","NY","10128","1","11.18","0.00","0.00","0.73","0.00","11.91","-1.68","-1.12","0.00","-0.57","0.00","-3.00","5.54"
"2025-09-22","2025-10-05","2643384",,"The Burger Blade","755 9th Ave  #1A","New York","NY","10019","1","18.88","0.00","0.00","1.41","0.00","20.29","-2.83","-1.89","0.00","-0.83","0.00","-3.00","11.74"
"2025-09-22","2025-10-05","7749192","Sicilian Pizza - 2614 Lebanon Pike","Green Leaf Salads","2614 Lebanon Pike  ","Nashville","TN","37214","4","75.52","0.00","0.00","5.44","0.00","80.96","-12.17","-8.12","0.00","-3.31","0.00","-18.00","39.36"
"2025-09-22","2025-10-05","9811888","Avenue A","Luke's Breakfast Wraps","93 Avenue A  ","New York","NY","10009","6","112.55","0.00","0.00","9.11","0.00","121.66","-16.88","-11.27","0.00","-5.20","0.00","-9.92","78.39"
"2025-09-22","2025-10-05","3310890","George St","Vegetarian Sandwiches Boss","228 George St  ","New Brunswick","NJ","08901","1","18.17","0.00","0.00","0.87","0.00","19.04","-2.73","-1.82","0.00","-0.73","0.00","-5.00","8.76"
"2025-09-22","2025-10-05","2786868",,"Ali's Gyro Lab","590 32nd St  ","Union City","NJ","07087","2","30.78","0.00","0.00","1.38","0.00","32.16","-4.62","-3.08","0.00","-1.28","0.00","-10.00","13.18"
"2025-09-22","2025-10-05","8565920",,"Amores Taqueria","382 8th Ave  ","New York","NY","10001","1","25.16","0.00","0.00","1.79","0.00","26.95","-3.77","-2.52","0.00","-0.97","0.00","-5.00","14.69"
