"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","827731187351182","2025-09-26","10:10:00 PM","America/New_York","4514232","1741 1st Avenue","Hero Sandwich Shop","1741 1st Ave.  ","New York","NY","10128","Prepaid Order","Grubhub Delivery","GH+","16.99","1.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.23","-2.55","-1.70","0.00","-0.76","0.00","0.00","-3.00","0.00","10.22",,"BwEAAAAAAEThuNE4t2CbQRHwt2GdzP3t2ew"
"Marketplace","903731204463304","2025-09-29","11:36:00 AM","America/New_York","1968311",,"Penny's Pancakes","1237 Fulton Street  ","Brooklyn","NY","11216","Prepaid Order","Grubhub Delivery","GH+","19.58","1.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.88","-2.94","-1.96","0.00","-0.79","0.00","0.00","-4.90","0.00","10.29",,"BwEAAAAAAB4It1B-MjCdRBHwsjEzeVaaBgY"
"Marketplace","092531248128494","2025-10-02","09:29:00 PM","America/Detroit","3310150","Packard St","The Dessert Shack","1200 Packard St  ","Ann Arbor","MI","48104","Prepaid Order","Grubhub Delivery","GH+","18.86","0.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.69","-2.83","-1.89","0.00","-0.75","-0.83","0.00","-5.00","0.00","8.39",,"BwEAAAAAADKCRl4bTxCf9BHwjxEru_3yI9k"
"Marketplace","584231234406464","2025-10-02","11:57:00 AM","America/New_York","9811888","Avenue A","Luke's Breakfast Wraps","93 Avenue A  ","New York","NY","10009","Prepaid Order","Grubhub Delivery","GH+","33.55","2.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","36.00","-5.03","-3.36","0.00","-1.22","0.00","0.00","-6.00","0.00","20.39",,"BwEAAAAAAJW3sGxE4dCfoRHwodH_D6w7xkI"
"Marketplace","496331241295439","2025-10-03","12:23:58 AM","America/New_York","10062104","8th Ave","Panini's On Panini's","382 8th Ave  ","New York","NY","10001","Order Adjustment","Grubhub Delivery","GH+","-16.08","-1.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-17.24","0.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","-14.24",,"CQMAAAAAAJmJGLuuJOCgCBHwpOGbB4hD3aMAAAAB"
"Marketplace","496331241295439","2025-10-03","12:05:00 AM","America/New_York","10062104","8th Ave","Panini's On Panini's","382 8th Ave  ","New York","NY","10001","Prepaid Order","Grubhub Delivery","GH+","16.08","1.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.24","-2.41","-1.61","0.00","-0.73","0.00","0.00","-3.00","0.00","9.49",,"BwEAAAAAAJmJGLuuJOCgCBHwpOGbB4hD3aM"
"Marketplace","802131266351514","2025-10-05","08:54:00 AM","America/New_York","1938468",,"Stella's Pancake Bar","937 1st Avenue ","New York","NY","10022","Prepaid Order","Grubhub Delivery","GH+","22.18","1.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.66","-3.33","-2.22","0.00","-0.85","0.00","0.00","-5.55","0.00","11.71",,"BwEAAAAAAB2UJOS7LKKh5RHwrKPxHL0_-j8"
"Marketplace","359731239170543","2025-10-01","11:45:00 PM","America/New_York","1938468",,"Stella's Pancake Bar","937 1st Avenue ","New York","NY","10022","Prepaid Order","Grubhub Delivery","GH+","19.68","1.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.98","-2.95","-1.97","0.00","-0.79","0.00","0.00","-5.00","0.00","10.27",,"BwEAAAAAAB2UJP7ByqCfPRHwiqHr255ipc0"
"Marketplace","721631264198889","2025-10-05","08:00:00 AM","America/New_York","2352422",,"The Pancake Snob (West Chester Pike)","1147 West Chester Pike ","West Chester","PA","19382","Prepaid Order","Grubhub Delivery","non GH+","90.41","5.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","95.65","-13.56","-9.04","0.00","-3.13","-5.24","0.00","-3.00","0.00","61.68",,"BwEAAAAAACPlJnTPMCChoBHwsCH3BPP1mWk"
"Marketplace","491131188347249","2025-09-27","02:08:00 PM","America/New_York","10929240","Amsterdam Ave","The Burger Hole","1213 Amsterdam Ave  ","New York","NY","10027","Prepaid Order","Grubhub Delivery","GH+","16.07","0.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.05","-2.41","-1.61","0.00","-0.67","0.00","0.00","-5.00","0.00","7.36",,"BwEAAAAAAKbEWCu8fDCbyRHwvDEfGZPN0-E"
"Marketplace","943231172886991","2025-09-26","02:21:00 AM","America/New_York","3326398","W 34th st","Heaven's Burgers","433 W 34th St  ","New York","NY","10001","Prepaid Order","Grubhub Delivery","GH+","23.98","1.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.67","-3.60","-2.40","0.00","-0.93","0.00","0.00","-5.00","0.00","13.74",,"BwEAAAAAADLBvlqjQvCanBHwgvHnZvk6jas"
"Marketplace","880831190969473","2025-09-28","06:14:00 PM","America/New_York","3310756","N Broadway","London's Fish N Chips","854 N Broadway  ","White Plains","NY","10603","Prepaid Order","Grubhub Delivery","GH+","61.97","4.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","66.74","-9.30","-6.20","0.00","-2.18","0.00","0.00","-5.00","0.00","44.06",,"BwEAAAAAADKEpP9A5ICcshHwpIF5rDwvsuc"
"Marketplace","880831190987583","2025-09-28","01:34:00 PM","America/New_York","1946629",,"Village Breakfast Snob","59 4th Ave ","New York","NY","10003","Prepaid Order","Grubhub Delivery","GH+","31.96","2.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.80","-4.79","-3.20","0.00","-1.36","0.00","0.00","0.00","0.00","25.45",,"BwEAAAAAAB20BbOwXkCcjBHwnkEHajN1yIg"
"Marketplace","584631166764455","2025-09-25","09:58:00 AM","America/New_York","9816352","168 Myrtle Ave","Daybreak Breakfast Club","168 Myrtle Ave  ","Brooklyn","NY","11201","Prepaid Order","Grubhub Delivery","GH+","17.48","1.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.59","-2.62","-1.75","0.00","-0.71","0.00","0.00","-5.00","0.00","8.51",,"BwEAAAAAAJXJIIG3mOCaERHwmOGRlrkZs3k"
"Marketplace","029231200171118","2025-09-29","02:28:00 PM","America/Phoenix","3310209","W Greenway Rd","Linh's Chinese Restaurant","13011 W Greenway Rd  ","El Mirage","AZ","85335","Prepaid Order","Grubhub Delivery","GH+","32.38","2.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.87","-4.86","-3.24","0.00","-1.21","0.00","0.00","-5.00","0.00","20.56",,"BwEAAAAAADKCgWo6QfCddhHwgfGjokw9xyY"
"Marketplace","228231205496213","2025-09-29","08:22:00 PM","America/New_York","4831888","197 Havemeyer St.","Pita Sandwich Bite","197 Havemeyer St  ","Brooklyn","NY","11211","Prepaid Order","Grubhub Delivery","GH+","16.98","1.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.04","-2.55","-1.70","0.00","-0.70","0.00","0.00","-5.00","0.00","8.09",,"BwEAAAAAAEm6kLRxnqCdjRHwnqE5pQWJsyU"
"Marketplace","156631192815217","2025-09-28","07:20:00 PM","America/New_York","8567152",,"Brad's Buffalo Wings","171 W 23rd St  ","New York","NY","10011","Prepaid Order","Grubhub Delivery","GH+","82.91","7.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","90.27","-12.44","-8.29","0.00","-3.05","0.00","0.00","0.00","0.00","66.49",,"BwEAAAAAAIK5cGC4ZQCcuxHwpQHdTFmTPIs"
"Marketplace","156631192815217","2025-09-28","07:20:00 PM","America/New_York","8567152",,"Brad's Buffalo Wings","171 W 23rd St  ","New York","NY","10011","Cancellation","Grubhub Delivery","GH+","-82.91","-7.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-90.27","12.44","8.29","0.00","3.05","0.00","0.00","0.00","0.00","-66.49",,"CQMAAAAAAIK5cGC4ZQCcuxHwpQHdTFmTPIsAAAAB"
"Marketplace","782031156049345","2025-09-24","01:18:00 PM","America/New_York","8569944",,"Top Panini Shop","1175 2nd Ave  ","New York","NY","10065","Prepaid Order","Grubhub Delivery","GH+","17.99","0.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.88","-1.50","-1.80","0.00","-0.63","0.00","0.00","0.00","-8.00","6.95",,"BwEAAAAAAILEWHyOuACZZRHwuAEVTgtV8hc"
"Marketplace","220431245420499","2025-10-02","10:49:00 PM","America/New_York","6891720","Wholesome Farms Market - 1306 Atlantic Ave","Green Leaf Salads","1306 Atlantic Ave  ","Brooklyn","NY","11216","Prepaid Order","Grubhub Delivery","GH+","11.19","0.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.18","-1.68","-1.12","0.00","-0.67","0.00","0.00","0.00","0.00","8.71",,"BwEAAAAAAGkoyPfdjsCf_RHwjsFphQohY9o"
"Marketplace","490131258004341","2025-10-03","10:13:00 PM","America/New_York","4839144","319 Rogers Ave","The Gyro Bar","319 Rogers Ave  ","Brooklyn","NY","11225","Prepaid Order","Grubhub Delivery","GH+","16.37","1.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.82","-1.80","-1.64","0.00","0.00","0.00","0.00","0.00","0.00","14.38",,"BwEAAAAAAEnW6GPNFpCgwhHwlpEnryqjZJY"
"Marketplace","537231226921866","2025-10-01","07:37:00 AM","America/New_York","2352422",,"The Pancake Snob (West Chester Pike)","1147 West Chester Pike ","West Chester","PA","19382","Prepaid Order","Grubhub Delivery","non GH+","16.48","0.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.47","-2.47","-1.65","0.00","-0.83","-0.99","0.00","0.00","0.00","11.53",,"BwEAAAAAACPlJpLlLMCetBHwrMHpcyz83f8"
"Marketplace","002931242008867","2025-10-03","04:19:00 PM","America/New_York","4839144","319 Rogers Ave","The Gyro Bar","319 Rogers Ave  ","Brooklyn","NY","11225","Prepaid Order","Grubhub Delivery","GH+","14.88","1.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.20","-1.64","-1.49","0.00","0.00","0.00","0.00","0.00","0.00","13.07",,"BwEAAAAAAEnW6EpdDoCgkRHwjoFNxhEpGTU"
"Marketplace","135731273809228","2025-10-05","08:49:00 PM","America/New_York","10075304","Broadway","Wonderland Wraps","3661 Broadway  ","New York","NY","10031","Prepaid Order","Grubhub Delivery","GH+","15.08","1.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.15","-1.81","-1.51","0.00","-0.70","0.00","0.00","0.00","-3.00","9.13",,"BwEAAAAAAJm8qLzsVZCiShHwlZFTMQiWkrI"
"Marketplace","479631225520383","2025-09-30","11:23:00 PM","America/New_York","6891720","Wholesome Farms Market - 1306 Atlantic Ave","Green Leaf Salads","1306 Atlantic Ave  ","Brooklyn","NY","11216","Prepaid Order","Grubhub Delivery","non GH+","28.07","1.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.03","-4.21","-2.81","0.00","-1.03","0.00","0.00","-6.00","0.00","15.98",,"BwEAAAAAAGkoyMqWUWCecBHwkWHh__WLm5g"
"Marketplace","694931236617613","2025-10-02","10:10:00 AM","America/New_York","1968311",,"Penny's Pancakes","1237 Fulton Street  ","Brooklyn","NY","11216","Prepaid Order","Grubhub Delivery","GH+","7.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.39","-1.11","-0.74","0.00","-0.30","0.00","0.00","-7.39","0.00","-2.15",,"BwEAAAAAAB4It0wPaWCflBHwqWGZt32MM-o"
"Marketplace","988331236280758","2025-10-02","06:33:00 PM","America/New_York","8562904",,"The Burger Joint","1595 Seminole Blvd  ","Largo","FL","33770","Prepaid Order","Grubhub Delivery","GH+","19.58","1.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.95","-2.94","-1.96","0.00","-0.94","0.00","0.00","0.00","0.00","15.11",,"BwEAAAAAAIKo2OtH-ACf2BHwuAE3B7tP-PI"
"Marketplace","722531260631582","2025-10-05","10:54:00 AM","America/New_York","9811888","Avenue A","Luke's Breakfast Wraps","93 Avenue A  ","New York","NY","10009","Prepaid Order","Grubhub Delivery","GH+","19.58","1.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.32","-2.94","-1.96","0.00","-0.95","0.00","0.00","0.00","0.00","15.47",,"BwEAAAAAAJW3sN8a8nCh9RHwsnHxHL0_-j8"
"Marketplace","208331235535122","2025-10-02","06:49:00 PM","America/Chicago","10075344","E Arapaho Rd","Roll N Chop Sushi's","1401 E Arapaho Rd  ","Richardson","TX","75081","Prepaid Order","Grubhub Delivery","non GH+","24.47","1.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","26.08","-3.67","-2.45","0.00","-0.94","0.00","0.00","-5.00","0.00","14.02",,"BwEAAAAAAJm80B5eKWCf5RHwqWFR8EmpagU"
"Marketplace","658031238736499","2025-10-02","01:53:00 PM","America/Chicago","7749192","Sicilian Pizza - 2614 Lebanon Pike","Green Leaf Salads","2614 Lebanon Pike  ","Nashville","TN","37214","Prepaid Order","Grubhub Delivery","GH+","27.27","2.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.33","-4.09","-2.73","0.00","-1.04","0.00","0.00","-5.00","0.00","16.47",,"BwEAAAAAAHY-SAcP67CfuxHwq7E_aQJX7To"
"Marketplace","825131163849420","2025-09-25","12:33:00 AM","America/New_York","2821699",,"Wonderland Wraps","217 1st Avenue  ","New York","NY","10003","Prepaid Order","Grubhub Delivery","non GH+","14.09","1.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.34","-2.11","-1.41","0.00","-0.77","0.00","0.00","0.00","0.00","11.05",,"BwEAAAAAACsOQ8klhbCZwhHwhbFRvl429tQ"
"Marketplace","572431150164277","2025-09-23","10:12:00 PM","America/New_York","1938070",,"The Mexican Cocina","937 1st ave  ","New York","NY","10022","Prepaid Order","Grubhub Delivery","GH+","25.97","1.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.83","-3.90","-2.60","0.00","-1.00","0.00","0.00","-5.00","0.00","15.33",,"BwEAAAAAAB2Sli5l5jCY6BHwpjEn8BEFmB8"
"Marketplace","382031191177614","2025-09-28","10:14:00 AM","America/New_York","6891656","Wholesome Farms Market - 840 Fulton St","Olivia's Breakfast Cafe","840 Fulton St  ","Brooklyn","NY","11238","Prepaid Order","Grubhub Delivery","GH+","15.97","0.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.94","-2.40","-1.60","0.00","-0.66","0.00","0.00","-5.00","0.00","7.28",,"BwEAAAAAAGkoiGX-TACccBHwjAEFYUeDAD8"
"Marketplace","485631175674720","2025-09-26","08:38:00 AM","America/New_York","2352422",,"The Pancake Snob (West Chester Pike)","1147 West Chester Pike ","West Chester","PA","19382","Prepaid Order","Grubhub Delivery","non GH+","52.95","2.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","55.83","-7.94","-5.30","0.00","-1.85","-2.88","0.00","-5.00","0.00","32.86",,"BwEAAAAAACPlJlDJj-CazxHwj-Fd_MimuJM"
"Marketplace","350031180418826","2025-09-26","10:53:00 PM","America/New_York","4512360","1424 Lexington Ave","Top Panini Shop","1424 Lexington Ave  ","New York","NY","10128","Prepaid Order","Grubhub Delivery","GH+","12.59","1.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.71","-1.89","-1.26","0.00","-0.72","0.00","0.00","0.00","0.00","9.84",,"BwEAAAAAAETaaKxDfOCbSBHwvOElE9Ypi9g"
"Marketplace","355831167505736","2025-09-24","09:16:00 PM","America/New_York","2776714",,"LV Taco Bar (1st Ave)","1741 1st Avenue  ","New York","NY","10128","Cancellation","Grubhub Delivery","GH+","-19.78","-1.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-21.54","2.97","1.98","0.00","0.96","0.00","0.00","0.00","0.00","-15.63","Cancelled by Merchant","CQMAAAAAACpeipVtk-CZpxHwk-H_uXXZ178AAAAB"
"Marketplace","355831167505736","2025-09-24","09:16:00 PM","America/New_York","2776714",,"LV Taco Bar (1st Ave)","1741 1st Avenue  ","New York","NY","10128","Prepaid Order","Grubhub Delivery","GH+","19.78","1.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.54","-2.97","-1.98","0.00","-0.96","0.00","0.00","0.00","0.00","15.63",,"BwEAAAAAACpeipVtk-CZpxHwk-H_uXXZ178"
"Marketplace","821731191612731","2025-09-28","06:58:00 PM","America/Chicago","9813512","W National","The Pasta Story","2138 W National Ave  ","Milwaukee","WI","53204","Prepaid Order","Grubhub Delivery","GH+","22.47","1.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.85","-3.37","-2.25","0.00","-0.87","-1.38","0.00","-5.00","0.00","10.98",,"BwEAAAAAAJW-CLYhrsCcwBHwrsHtvFM4zCk"
"Marketplace","585331214036662","2025-09-29","10:01:00 PM","America/New_York","2642274",,"Smoothie and Dessert Bar","755 9th Ave  #1C","New York","NY","10019","Prepaid Order","Grubhub Delivery","GH+","26.38","1.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.28","-3.96","-2.64","0.00","-1.01","0.00","0.00","-5.00","0.00","15.67",,"BwEAAAAAAChRYiS0pFCdnRHwpFFrl6WQE7I"
"Marketplace","806731142837816","2025-09-23","01:29:00 PM","America/New_York","8569944",,"Top Panini Shop","1175 2nd Ave  ","New York","NY","10065","Cancellation","Grubhub Delivery","non GH+","-40.96","-3.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-44.33","6.14","4.10","0.00","1.56","0.00","0.00","3.00","0.00","-29.53","Cancelled by Merchant","CQMAAAAAAILEWJ4nDyCYnhHwjyE5UzxS2HYAAAAB"
"Marketplace","806731142837816","2025-09-23","01:29:00 PM","America/New_York","8569944",,"Top Panini Shop","1175 2nd Ave  ","New York","NY","10065","Prepaid Order","Grubhub Delivery","non GH+","40.96","3.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","44.33","-6.14","-4.10","0.00","-1.56","0.00","0.00","-3.00","0.00","29.53",,"BwEAAAAAAILEWJ4nDyCYnhHwjyE5UzxS2HY"
"Marketplace","586831235410522","2025-10-02","05:36:00 AM","America/New_York","1946630",,"Firenze Pasta Ristorante","59 4th Avenue  ","New York","NY","10003","Prepaid Order","Grubhub Delivery","GH+","37.96","2.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","40.71","-5.69","-3.80","0.00","-1.33","0.00","0.00","-7.00","0.00","22.89",,"BwEAAAAAAB20Bpe4kkCfbhHwkkF51bugLPs"
"Marketplace","085131228386527","2025-10-01","07:39:00 PM","America/New_York","2563085",,"OG Chicken and Waffles","820 Pennsylvania Ave  ","Pittsburgh","PA","15233","Prepaid Order","Grubhub Delivery","GH+","15.99","0.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.76","-2.40","-1.60","0.00","-0.66","-0.77","0.00","-5.00","0.00","6.33",,"BwEAAAAAACccDSj8GkCfFxHwmkG_p7Wg1C4"
"Marketplace","370331225620027","2025-10-01","04:20:00 PM","America/New_York","2116039",,"BBQ Ribs Co.","820 Pennsylvania Ave ","Pittsburgh","PA","15233","Prepaid Order","Grubhub Delivery","GH+","27.98","1.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.73","-4.20","-2.80","0.00","-1.12","-1.75","0.00","-3.00","0.00","16.86",,"BwEAAAAAACBJx_BVVzCe-xHwlzHV238NNlY"
"Marketplace","825131247882064","2025-10-03","03:41:00 PM","America/New_York","3310779","George St","Pita Sandwiches Bite","228 George St  ","New Brunswick","NJ","08901","Prepaid Order","Grubhub Delivery","GH+","23.18","0.00","1.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.18","-3.48","-2.32","0.00","-0.76","0.00","0.00","-8.00","0.00","8.62",,"BwEAAAAAADKEuyIOZkCgjBHwpkGPL6JRRsw"
"Marketplace","996231228183897","2025-09-30","09:06:00 PM","America/New_York","2352422",,"The Pancake Snob (West Chester Pike)","1147 West Chester Pike ","West Chester","PA","19382","Prepaid Order","Grubhub Delivery","GH+","18.48","0.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.41","-2.77","-1.85","0.00","-0.80","-0.93","0.00","-3.00","0.00","10.06",,"BwEAAAAAACPlJoOLdSCeXBHwtSHxaQBXOZU"
"Marketplace","042631274115679","2025-10-05","09:47:00 PM","America/New_York","6891720","Wholesome Farms Market - 1306 Atlantic Ave","Green Leaf Salads","1306 Atlantic Ave  ","Brooklyn","NY","11216","Prepaid Order","Grubhub Delivery","GH+","15.78","1.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.83","-2.37","-1.58","0.00","-0.69","0.00","0.00","-3.95","0.00","8.24",,"BwEAAAAAAGkoyKaC-NCiUBHwuNGprqYlVl0"
"Marketplace","516831238849697","2025-10-02","03:37:00 PM","America/New_York","8569944",,"Top Panini Shop","1175 2nd Ave  ","New York","NY","10065","Prepaid Order","Grubhub Delivery","GH+","17.99","1.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.59","-2.70","-1.80","0.00","-0.90","0.00","0.00","0.00","0.00","14.19",,"BwEAAAAAAILEWGwbQVCfwxHwgVEhmkYf8ZA"
"Marketplace","329131257990086","2025-10-04","09:43:00 AM","America/New_York","6893800","Dream Gourmet Deli inc. - 111 East 161 Street","Prime Burger Lounge","111 E 161 St  ","Bronx","NY","10452","Prepaid Order","Grubhub Delivery","GH+","17.18","0.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.67","-2.58","-1.72","0.00","-0.69","0.00","0.00","-5.00","0.00","7.68",,"BwEAAAAAAGkw6ApBYvChIxHwovFbLS1uSvc"
"Marketplace","544731264972986","2025-10-05","01:38:00 PM","America/New_York","2352422",,"The Pancake Snob (West Chester Pike)","1147 West Chester Pike ","West Chester","PA","19382","Prepaid Order","Grubhub Delivery","GH+","30.97","1.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","32.65","-4.65","-3.10","0.00","-1.20","-1.68","0.00","-3.00","0.00","19.02",,"BwEAAAAAACPlJsmY9TCiCxHwtTGprqYlVl0"
"Marketplace","880831190960853","2025-09-28","04:24:00 PM","America/New_York","11801712","Thomas S Boyland St","Luke's Breakfast Club","116 Thomas S Boyland St  ","Brooklyn","NY","11233","Prepaid Order","Grubhub Delivery","GH+","20.68","1.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.06","-3.10","-2.07","0.00","-0.82","0.00","0.00","-5.17","0.00","10.90",,"BwEAAAAAALQUcASgdsCcpBHwtsHxIoXkvCo"
"Marketplace","291331189802743","2025-09-27","02:03:00 PM","America/New_York","1946629",,"Village Breakfast Snob","59 4th Ave ","New York","NY","10003","Prepaid Order","Grubhub Delivery","GH+","26.97","2.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.36","-4.05","-2.70","0.00","-1.20","0.00","0.00","0.00","0.00","21.41",,"BwEAAAAAAB20BT2rsJCbxRHwsJEzCPtKV8o"
"Marketplace","662131199334687","2025-09-28","10:14:00 AM","America/New_York","1946629",,"Village Breakfast Snob","59 4th Ave ","New York","NY","10003","Prepaid Order","Grubhub Delivery","GH+","59.90","4.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","64.60","-8.99","-5.99","0.00","-2.06","0.00","0.00","-7.00","0.00","40.56",,"BwEAAAAAAB20BZJzN6CccBHwt6EFYUeDAD8"
"Marketplace","355831197549863","2025-09-28","11:07:00 AM","America/New_York","4839144","319 Rogers Ave","The Gyro Bar","319 Rogers Ave  ","Brooklyn","NY","11225","Prepaid Order","Grubhub Delivery","GH+","24.77","1.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","26.70","-2.72","-2.48","0.00","0.00","0.00","0.00","-3.00","0.00","18.50",,"BwEAAAAAAEnW6D8ePACceBHwvAHFHd9JYUg"
