"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","175031275679897","2025-10-05","10:14:00 PM","America/New_York","3310812","Hillside Ave","Top Panini Shop","164-01 Hillside Avenue  ","Jamaica","NY","11432","Prepaid Order","Grubhub Delivery","GH+","19.87","0.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.47","-2.98","-1.99","0.00","-0.77","0.00","0.00","-4.97","0.00","9.76",,"BwEAAAAAADKE3DsBUSCiVBHwkSF9l8wl4E4"
"Marketplace","049731220005031","2025-10-01","08:15:00 PM","America/New_York","2444144",,"Charlie's Chicken Wings","244 W 14th St ","New York","NY","10011","Prepaid Order","Grubhub Delivery","non GH+","27.68","2.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.69","-4.15","-2.77","0.00","-1.05","0.00","0.00","-5.00","0.00","16.72",,"BwEAAAAAACVLcLBKMGKfHxHwsGOhLJg7aYw"
"Marketplace","996231228180501","2025-09-30","09:37:00 PM","America/New_York","9824096","257 Water Street","Lettuce N Greens","257 Water St  ","New York","NY","10038","Prepaid Order","Grubhub Delivery","non GH+","22.36","1.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.35","-3.35","-2.24","0.00","-1.04","0.00","0.00","0.00","0.00","17.72",,"BwEAAAAAAJXnYGQrLGCeYhHwrGH5O3oFQAQ"
"Marketplace","444631169873825","2025-09-25","12:15:00 PM","America/New_York","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","Prepaid Order","Grubhub Delivery","GH+","22.38","1.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.92","-3.36","-2.24","0.00","-0.88","0.00","0.00","-5.00","0.00","12.44",,"BwEAAAAAAFp9APb7y-CaCxHwi-Hd3RcaYAo"
"Marketplace","725531205571559","2025-09-29","10:58:00 AM","America/New_York","9819592","28501 Hoover Rd","Bosscat breakfast","28501 Hoover Rd  ","Warren","MI","48093","Prepaid Order","Grubhub Delivery","GH+","20.96","0.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.92","-3.14","-2.10","0.00","-0.82","-0.96","0.00","-5.00","0.00","9.90",,"BwEAAAAAAJXVyKemnKCdPxHwnKGr1tjEp2k"
"Marketplace","888831133923110","2025-09-22","11:36:00 AM","America/New_York","5024720","3907 Lee Hwy","First Light Breakfast Cafe","3907 Lee Hwy  ","Arlington","VA","22207","Prepaid Order","Grubhub Delivery","GH+","13.28","0.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.08","-1.99","-1.33","0.00","-0.73","0.00","0.00","0.00","0.00","10.03",,"BwEAAAAAAEyr0JWUgcCXwxHwgcG74BYlsug"
"Marketplace","238231166289064","2025-09-24","10:12:00 PM","America/New_York","2535778",,"The Pasta Story","1424 Lexington Ave ","New York","NY","10128","Prepaid Order","Grubhub Delivery","GH+","16.37","1.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.56","-2.46","-1.64","0.00","-0.74","0.00","0.00","-3.00","0.00","9.72",,"BwEAAAAAACaxYr7lZ_CZrhHwp_Gl7_ZcoME"
"Marketplace","549431189036956","2025-09-27","11:38:00 AM","America/New_York","3300571","Canal St #6019","Pressed On Panini's","83 Canal St  ","New York","NY","10002","Prepaid Order","Grubhub Delivery","GH+","19.08","1.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.33","-2.86","-1.91","0.00","-0.77","0.00","0.00","-5.00","0.00","9.79",,"BwEAAAAAADJc2-a6D5CbsxHwj5EBWYTgeFs"
"Marketplace","000931210272512","2025-09-29","11:09:00 PM","America/New_York","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","Prepaid Order","Grubhub Delivery","GH+","25.17","1.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","26.96","-3.78","-2.52","0.00","-0.97","0.00","0.00","-5.00","0.00","14.69",,"BwEAAAAAAFp9AAwF7qCdpxHwrqEHrc0NFqo"
"Marketplace","372431154773462","2025-09-24","05:06:00 PM","America/New_York","10929200","Amsterdam Ave","Sam's Scrumptious Subs","1213 Amsterdam Ave  ","New York","NY","10027","Prepaid Order","Grubhub Delivery","GH+","18.87","1.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.10","-2.83","-1.89","0.00","-0.76","0.00","0.00","-5.00","0.00","9.62",,"BwEAAAAAAKbEMLEfWcCZhBHwmcH_uXXZ178"
