"payout_date","payout_type","distribution_id","short_distribution_id","deposit_id","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","prepaid_order_count","cash_order_count","cancellation_order_count","order_adjustment_count","on_demand_delivery_fees_count","misc_payment_count","subtotal_sales","cash_order_subtotal_sales_paid_at_store","subtotal_sales_adjustments","subtotal_voided_from_cancellations","subtotal_sales_payout","sales_tax","cash_order_sales_tax_paid_at_store","sales_tax_adjustments","sales_tax_voided_from_cancellations","withheld_sales_tax","disbursed_sales_tax","self_delivery_charge","merchant_service_fee","merchant_flexible_fees","tip","commission","delivery_commission","on_demand_delivery_fee","gh_plus_commission","processing_fee","merchant_funded_promotion","merchant_funded_loyalty","account_adjustments","payout_fee","payout_amount"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQICjongsHMZJ5qGkhON5b-a8",,"AQAAAAAAY8qQAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","6539920","Not Just Pizza - 1715 Sicklerville Rd","Bruno's Burning Pizza","1715 Sicklerville Rd  ","Gloucester Township","NJ","08081","1","0","0","0","0","0","16.79","0.00","0.00","0.00","16.79","0.78","0.00","0.00","0.00","0.00","0.78","0.00","0.00","0.00","0.00","-2.52","-1.68","0.00","0.00","-0.68","-5.00","0.00","0.00","0.00","7.69"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIB3d3XNKzFAeqWsVRG9I5bN","25092624RG9I5bN","AQAAAAAAnp-YAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","10395544","E University Dr","101 Hummus","675 E University Dr  ","Carson","CA","90746","1","0","0","0","0","0","33.56","0.00","0.00","0.00","33.56","2.93","0.00","0.00","0.00","0.00","2.93","0.00","0.00","0.00","0.00","-5.03","-3.36","0.00","0.00","-1.26","-5.00","0.00","0.00","0.00","21.84"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIDnLABCYJZA7JWIzhGQ6oLW",,"AQAAAAAAlgnwAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","9832944","1708 Livernois Rd","The Pasta Brothers","1708 Livernois Rd  ","Troy","MI","48083","4","0","0","0","0","0","155.24","0.00","0.00","0.00","155.24","8.59","0.00","0.00","0.00","-8.59","0.00","0.00","0.00","0.00","0.00","-23.28","-15.53","0.00","0.00","-5.84","-12.00","0.00","0.00","0.00","98.59"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIA5cJ5FWz5HzoPAdL9V8oOO","25092624L9V8oOO","AQAAAAAAbFqIAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","7101064","Pizza Zone","Amore Pasta Ristorante","3618 N Pennsylvania Ave  ","Oklahoma City","OK","73112","2","0","0","0","0","0","49.36","0.00","0.00","0.00","49.36","3.39","0.00","0.00","0.00","-3.39","0.00","0.00","0.00","0.00","0.00","-7.41","-4.94","0.00","0.00","-1.90","-10.00","0.00","0.00","0.00","25.11"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIBdX2IXf61MtojJYSG_nw7U","25092624SG_nw7U","AQAAAAAAKbOEAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","2732932",,"RJ's Philly Cheesesteaks (Gold St)","257 Gold St  ","New York","NY","10075","12","0","0","2","0","0","334.45","0.00","-27.75","0.00","306.70","25.54","0.00","-2.21","0.00","0.00","23.33","0.00","0.00","0.00","0.00","-50.18","-33.48","0.00","0.00","-13.14","-44.00","0.00","0.00","0.00","189.23"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIAxR3pLMbZCX5t8GKmfoxyp","25092624Kmfoxyp","AQAAAAAAJYr8AAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","2460412",,"Breakfast Burrito Snob","488 Post St ","San Francisco","CA","94102","3","0","0","0","0","0","64.32","0.00","0.00","0.00","64.32","5.10","0.00","0.00","0.00","0.00","5.10","0.00","0.00","0.00","0.00","-9.64","-6.43","0.00","0.00","-2.87","-5.00","0.00","0.00","0.00","45.48"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQICf-nKmc6ZEyKrlfi-hIPmR",,"AQAAAAAAKfnVAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","2750933",,"Phillz Cheesesteaks","44 E 8th St  ","New York","NY","10003","3","0","0","0","0","0","44.46","0.00","0.00","0.00","44.46","3.50","0.00","0.00","0.00","0.00","3.50","0.00","0.00","0.00","0.00","-6.67","-4.45","0.00","0.00","-2.21","-5.00","0.00","0.00","0.00","29.63"
"2025-10-03","Month End","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAkNVddooNGAZzdvUYRaD1l",,"AQAAAAAAWUrIAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","5851848","Broadway","The Acai Dream","689 Broadway  ","New York","NY","10012","3","0","0","0","0","0","167.92","0.00","0.00","0.00","167.92","13.57","0.00","0.00","0.00","0.00","13.57","0.00","0.00","0.00","0.00","-25.19","-16.80","0.00","0.00","-5.98","-15.00","0.00","0.00","0.00","118.52"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIDEws2y0OtKeIDQmDqKFyP1","25092624DqKFyP1","AQAAAAAAWUsYAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","5851928","1st Avenue","Sarah's Breakfast Bar","1741 1st Ave.  ","New York","NY","10128","1","0","0","0","0","0","17.96","0.00","0.00","0.00","17.96","1.15","0.00","0.00","0.00","0.00","1.15","0.00","0.00","0.00","0.00","-2.69","-1.80","0.00","0.00","-0.73","-5.00","0.00","0.00","0.00","8.89"
"2025-09-26","ACH","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIBjnqzjhjFGRbnPIOUwC4no","25092624OUwC4no","AQAAAAAAlduIAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","9821064","Broadway","Two Hand Burger","4083 Broadway  ","New York","NY","10032","2","0","0","0","0","0","46.85","0.00","0.00","0.00","46.85","3.63","0.00","0.00","0.00","0.00","3.63","0.00","0.00","0.00","0.00","-6.58","-4.69","0.00","0.00","-1.96","-3.00","-3.00","0.00","0.00","31.25"
