"payout_date","payout_type","store_name","street_address","grubhub_store_id","store_number","distribution_id","short_distribution_id","deposit_id","order_number","transaction_date","transaction_time_local","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_id"
"2025-10-03","Month End","Olivia's Breakfast Cafe","840 Fulton St  ","6891656","Wholesome Farms Market - 840 Fulton St","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQIAThng-yplKQrmg2qq6CkBl",,"AQAAAAAAaSiIAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","648431190158321","2025-09-28","08:38:00 AM","Prepaid Order","Grubhub Delivery","non GH+","24.67","1.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","26.51","-3.70","-2.47","0.00","-0.99","0.00","0.00","-4.00","0.00","15.35","BwEAAAAAAGkoiLXZB0CcYxHwh0EFYUeDAD8"
"2025-10-03","Month End","Smoothie and Dessert Bar","755 9th Ave  #1C","2642274",,"AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQICvZWG14qpA1aLbKlbWqML5",,"AQAAAAAAKFFiAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","383931192464722","2025-09-28","08:08:00 PM","Prepaid Order","Grubhub Delivery","GH+","26.38","1.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.28","-3.96","-2.64","0.00","-1.01","0.00","0.00","-5.00","0.00","15.67","BwEAAAAAAChRYhvDcaCcwRHwsaFLmh0nWjE"
"2025-09-26","ACH","The Burger Stack","20 Meacham Ave  ","4839320","20 Meacham Ave suite F","AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIBz8VL-RdNNl6UCvvZfVMNE","25092624vZfVMNE","AQAAAAAASdeYAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","128431121167739","2025-09-21","05:09:00 PM","Prepaid Order","Grubhub Delivery","GH+","15.58","1.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.70","-2.34","-1.56","0.00","-0.72","0.00","0.00","-3.00","0.00","9.08","BwEAAAAAAEnXmIjqHDCXKhHwnDGR9n5dges"
"2025-09-26","ACH","Stella's Pancake Bar","937 1st Avenue ","1938468",,"AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYID1CmyZx8BCN4EdrlyLND0a","25092624lyLND0a","AQAAAAAAHZQkAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","206731123144920","2025-09-21","07:55:00 AM","Prepaid Order","Grubhub Delivery","GH+","17.18","1.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.26","-2.58","-1.72","0.00","-0.70","0.00","0.00","-5.00","0.00","8.26","BwEAAAAAAB2UJKyTbgCW3BHwrgG92qEnvUs"
"2025-09-26","ACH","The Pasta Twins","493 Old Hickory Blvd Ste 103  ","2484907",,"AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIA2QlPxLTZCHKVvQdgvz5L7","25092624dgvz5L7","AQAAAAAAJeqrAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","152331067217180","2025-09-17","11:00:00 AM","Prepaid Order","Grubhub Delivery","non GH+","47.96","4.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","52.15","-7.19","-4.80","0.00","-1.74","0.00","0.00","-5.00","0.00","33.42","BwEAAAAAACXqq_jKphCR1BHwphEXAc031_s"
"2025-09-26","ACH","Stella's Pancake Bar","937 1st Avenue ","1938468",,"AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYID1CmyZx8BCN4EdrlyLND0a","25092624lyLND0a","AQAAAAAAHZQkAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","435731118149316","2025-09-20","09:15:00 AM","Prepaid Order","Grubhub Delivery","non GH+","10.29","0.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.76","-1.54","-1.03","0.00","-0.48","0.00","0.00","-5.00","0.00","2.71","BwEAAAAAAB2UJBQKk5CWIRHwk5Evrd-AnM0"
"2025-09-26","ACH","Stella's Pancake Bar","937 1st Avenue ","1938468",,"AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYID1CmyZx8BCN4EdrlyLND0a","25092624lyLND0a","AQAAAAAAHZQkAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","948931133844214","2025-09-22","07:41:00 PM","Prepaid Order","Grubhub Delivery","GH+","28.27","2.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.34","-4.24","-2.83","0.00","-1.07","0.00","0.00","-5.00","0.00","17.20","BwEAAAAAAB2UJFGwlSCYCRHwlSGlvDgSLLw"
"2025-09-26","ACH","Wonka's Smoothie Bar","25-02 Queens Plaza S  ","2794768",,"AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYIDsKFPykOdD9JeOiAycMH5b","25092624AycMH5b","AQAAAAAAKqUQAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","128431121119686","2025-09-21","07:49:00 PM","Prepaid Order","Grubhub Delivery","GH+","22.76","0.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.47","-3.41","-2.28","0.00","-0.86","0.00","0.00","-5.00","0.00","11.92","BwEAAAAAACqlEHLqRvCXQRHwhvGbP2Zk9WA"
"2025-09-26","ACH","Stella's Pancake Bar","937 1st Avenue ","1938468",,"AQAAAAGZhGR0gAAAAZl6F7yAAAABmXTxYID1CmyZx8BCN4EdrlyLND0a","25092624lyLND0a","AQAAAAAAHZQkAAABmYRkdIAAAAGZehe8gAEAAAGZdPFggA","153331128038920","2025-09-21","08:10:00 AM","Prepaid Order","Grubhub Delivery","GH+","20.58","1.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.96","-3.09","-2.06","0.00","-0.82","0.00","0.00","-5.00","0.00","10.99","BwEAAAAAAB2UJHjyC0CW3hHwi0GLPAjT_4E"
"2025-10-03","Month End","Sensai Sushi Bar","4225 W Bell Rd  ","3309744","W Bell Rd","AgAAAAGZqHD4gAAAAZmeJECAAAABmZ4kQID4aBDHRBZFnZ8aJW7Mi1ys",,"AQAAAAAAMoCwAAABmahw-IAAAAGZniRAgAIAAAGZniRAgA","358631170944837","2025-09-25","09:47:00 PM","Prepaid Order","Grubhub Delivery","GH+","50.06","3.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","53.94","-7.51","-5.01","0.00","-1.79","0.00","0.00","-5.00","0.00","34.63","BwEAAAAAADKAsEqOUgCajhHwkgGbcZPgsLw"
