"order_channel","order_number","order_date","order_time_local","day_of_week","hour_of_day","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","store_type","order_type","scheduled_or_asap_order","fulfillment_type","cash_order","customer_type","gh_plus_customer","order_subtotal_before_adjustments","order_subtotal_adjustments","order_subtotal","order_self_delivery_charge","order_merchant_fees","order_sales_tax","order_tip","order_total","order_commission","order_delivery_commission","order_gh_plus_commission","order_processing_fee","order_withheld_sales_tax","order_merchant_funded_promotion_and_loyalty","order_merchant_total","order_time_to_expected_ready_time_minutes","order_time_to_actually_ready_time_minutes","order_time_to_driver_arrived_time_minutes","order_time_to_driver_departed_time_minutes","order_time_to_dropoff_start_time_minutes","ghd_driver_wait_time","order_on_time","overall_rating_value","review_text"
"Marketplace","535731142276080","2025-09-22","08:47:00 PM","Monday","8 PM","America/New_York","9816392","2rd","The Smoothie Squeeze","296 3rd Ave  ","New York","NY","10010","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","11.19","0.00","11.19","0.00","0.00","0.99","0.00","12.18","-1.68","-1.12","0.00","-0.67","0.00","0.00","8.71","15","21","3","19","25","3","On-time",,
"Marketplace","849631146221498","2025-09-22","08:23:07 PM","Monday","8 PM","America/New_York","2535778",,"The Pasta Story","1424 Lexington Ave ","New York","NY","10128","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","19.78","0.00","19.78","0.00","0.00","1.49","0.00","21.27","-2.97","-1.98","0.00","-0.86","0.00","-3.00","12.46","10","0","2","11","31","2","Early","4",
"Marketplace","710231130747826","2025-09-22","02:43:21 PM","Monday","2 PM","America/New_York","1171341",,"Italian Pasta Trattoria","122 E 57th St  ","New York","NY","10022","Corporate","Standard Order","ASAP","Self Delivery","No","New","GH+","29.99","0.00","29.99","1.99","0.00","2.84","5.14","39.96","-5.76","0.00","0.00","-1.52","0.00","0.00","32.68","15",,,,,,"Unable to Determine",,
"Marketplace","554531182856214","2025-09-27","06:53:50 PM","Saturday","6 PM","America/New_York","3311350","N Broadway","Fried Chicken Savage","854 N Broadway  ","White Plains","NY","10603","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","22.67","0.00","22.67","0.00","0.00","1.23","0.00","23.90","-3.40","-2.27","0.00","-0.78","0.00","-8.00","9.45","20","18","12","14","28","0","On-time",,
"Marketplace","456231163588937","2025-09-25","01:25:55 AM","Thursday","1 AM","America/Los_Angeles","9813424","1338 Polk St","The Fried Chicken Crave","1338 Polk St  ","San Francisco","CA","94109","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","15.99","0.00","15.99","0.00","0.00","0.95","0.00","16.94","-2.40","-1.60","0.00","-0.66","0.00","-5.00","7.28","15","62","27","29","37","2","On-time",,
"Marketplace","792731190459591","2025-09-28","02:05:07 PM","Sunday","2 PM","America/New_York","4836096","197 Havemeyer St.","Twin Peaks Burger","197 Havemeyer St  ","Brooklyn","NY","11211","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","21.90","0.00","21.90","0.00","0.00","1.68","0.00","23.58","-3.29","-2.19","0.00","-0.93","0.00","-3.00","14.17","11","131","14","29","34","16","Late",,
"Marketplace","574731200100889","2025-09-29","08:08:44 AM","Monday","8 AM","America/New_York","2900807",,"The Omelette Farm (1st Avenue)","1741 1st Avenue  ","New York","NY","10128","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","15.37","0.00","15.37","0.00","0.00","1.36","0.00","16.73","-2.31","-1.54","0.00","-0.81","0.00","0.00","12.07","10","0","9","11","13","1","Early",,
"Marketplace","507631149912029","2025-09-22","10:05:04 PM","Monday","10 PM","America/New_York","2535778",,"The Pasta Story","1424 Lexington Ave ","New York","NY","10128","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","20.57","0.00","20.57","0.00","0.00","1.56","0.00","22.13","-3.09","-2.06","0.00","-0.88","0.00","-3.00","13.10","6","0","13","30","56","17","Early",,
"Marketplace","076031146430882","2025-09-23","12:45:00 PM","Tuesday","12 PM","America/New_York","2535778",,"The Pasta Story","1424 Lexington Ave ","New York","NY","10128","Corporate","Standard Order","Scheduled","Grubhub Delivery","No","Returning","GH+","19.08","0.00","19.08","0.00","0.00","1.43","0.00","20.51","-2.86","-1.91","0.00","-0.83","0.00","-3.00","11.91",,,,,,"0","Early",,
"Marketplace","729131190548413","2025-09-28","07:15:34 PM","Sunday","7 PM","America/New_York","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","27.98","0.00","27.98","0.00","0.00","2.04","0.00","30.02","-4.20","-2.80","0.00","-1.06","0.00","-5.00","16.96","20","12","11","20","38","0","Early",,
"Marketplace","318431133303582","2025-09-22","06:41:15 PM","Monday","6 PM","America/New_York","1998870",,"Nico's Italian Ristorante","43 W Flagler St ","Miami","FL","33130","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","50.36","0.00","50.36","0.00","0.00","4.03","0.00","54.39","-7.55","-5.04","0.00","-1.96","0.00","0.00","39.84","21","14","13","14","22","0","Early",,
"Marketplace","710231130741363","2025-09-22","01:45:27 PM","Monday","1 PM","America/New_York","7102576","iKraveit Foods","Sarah's Salad Bar","34-02 30th St  ","Astoria","NY","11106","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","36.45","0.00","36.45","0.00","0.00","1.34","0.00","37.79","-5.47","-3.65","0.00","-1.36","0.00","-3.00","24.31","20","46","11","14","18","0","On-time",,
"Marketplace","716631215135759","2025-09-30","02:37:45 AM","Tuesday","2 AM","America/New_York","8569904",,"The Breakfast Dash","1561 St Nicholas Ave  ","New York","NY","10040","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","31.95","0.00","31.95","0.00","0.00","2.39","0.00","34.34","-4.79","-3.20","0.00","-1.19","0.00","-5.00","20.16",,,,,,,"Unable to Determine",,
"Marketplace","401131160149947","2025-09-25","11:52:52 AM","Thursday","11 AM","America/New_York","9815128","Lake Mary","Japan's Bento Box","318 W Lake Mary Blvd  ","Sanford","FL","32773","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","10.48","0.00","10.48","0.00","0.00","0.73","0.00","11.21","-1.57","-1.05","0.00","-0.64","0.00","0.00","7.95","15","43","17","17","40","1","On-time",,
"Marketplace","703831152037780","2025-09-24","04:58:37 PM","Wednesday","4 PM","America/New_York","6895640","Twin Donut Mexican Grill - 3 W Fordham Rd","Frankie's Burger Bar","3 W Fordham Rd  ","Bronx","NY","10468","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","18.48","0.00","18.48","0.00","0.00","0.62","0.00","19.10","-2.77","-1.85","0.00","-0.79","0.00","-3.00","10.69","21","33","15","24","54","3","On-time",,
"Marketplace","535731142274965","2025-09-22","10:49:03 PM","Monday","10 PM","America/New_York","4510072","433 W 34th st","Sip On Smoothie","433 W 34th St.  ","New York","NY","10001","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","31.76","0.00","31.76","0.00","0.00","2.38","0.00","34.14","-4.76","-3.18","0.00","-1.19","0.00","-5.00","20.01","20","251","6","11","21","0","On-time",,
"Marketplace","111931172422888","2025-09-25","09:21:16 PM","Thursday","9 PM","America/New_York","4831664","319 Rogers Ave","The Sandwich Vibe","319 Rogers Ave  ","Brooklyn","NY","11225","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","9.98","0.00","9.98","0.00","0.00","0.89","0.00","10.87","-1.50","-1.00","0.00","-0.63","0.00","0.00","7.74","13","525","11","14","30","1","On-time",,
"Marketplace","338231150625229","2025-09-24","09:52:08 AM","Wednesday","9 AM","America/New_York","2016655",,"The Pancake Spot","300 8th Ave ","New York","NY","10001","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","22.97","0.00","22.97","0.00","0.00","2.04","0.00","25.01","-3.45","-2.30","0.00","-1.06","0.00","0.00","18.20","25",,"23","28","32","3","On-time",,
"Marketplace","911531208182683","2025-09-29","12:53:54 PM","Monday","12 PM","America/Los_Angeles","10332968","N Almaden Ave","The Indian Spice Kitchen","100 N Almaden Ave  ","San Jose","CA","95110","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","10.49","0.00","10.49","0.00","0.00","0.98","0.00","11.47","-1.57","-1.05","0.00","-0.65","0.00","0.00","8.20","15","65","10","12","14","0","On-time",,
"Marketplace","139331130936856","2025-09-22","04:25:27 PM","Monday","4 PM","America/New_York","3310763","Queens Plaza S","Firenze Pasta Ristorante","25-02 Queens Plaza S  ","Queens","NY","11101","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","19.78","0.00","19.78","0.00","0.00","0.59","0.00","20.37","-2.97","-1.98","0.00","-0.77","0.00","-5.00","9.65","20","108","10","11","19","0","On-time",,
"Marketplace","669331184704439","2025-09-26","08:16:58 PM","Friday","8 PM","America/New_York","7098800","Mas Chingon Mexican Grill - 1541 Glenn School Rd","Burrito Lovers Bar","1541 Glenn School Rd  ","Durham","NC","27704","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","20.57","0.00","20.57","0.00","0.00","1.17","0.00","21.74","-3.09","-2.06","0.00","-0.81","-1.17","-5.00","9.61","20",,"38","38","48","0","On-time",,
"Marketplace","942131162924049","2025-09-25","06:52:20 PM","Thursday","6 PM","America/New_York","9816392","2rd","The Smoothie Squeeze","296 3rd Ave  ","New York","NY","10010","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","11.19","0.00","11.19","0.00","0.00","0.73","0.00","11.92","-1.23","-1.12","0.00","-0.57","0.00","-3.00","6.00","15","31","14","24","30","9","Late",,
"Marketplace","291531211846787","2025-09-29","10:22:53 PM","Monday","10 PM","America/Los_Angeles","9794768","18 S Abbott Ave","Dum Biryani Snob","18 S Abbott Ave  ","Milpitas","CA","95035","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","16.08","0.00","16.08","0.00","0.00","1.04","0.00","17.12","-2.41","-1.61","0.00","-0.67","0.00","-5.00","7.43","15","11","11","14","23","0","On-time",,
"Marketplace","479831212113618","2025-09-29","10:06:11 PM","Monday","10 PM","America/Los_Angeles","9794768","18 S Abbott Ave","Dum Biryani Snob","18 S Abbott Ave  ","Milpitas","CA","95035","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","18.17","0.00","18.17","0.00","0.00","1.24","0.00","19.41","-2.73","-1.82","0.00","-0.74","0.00","-5.00","9.12","15","26","10","25","39","10","Late","5",
"Marketplace","904231199637624","2025-09-27","08:55:06 PM","Saturday","8 PM","America/New_York","9816392","2rd","The Smoothie Squeeze","296 3rd Ave  ","New York","NY","10010","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","12.58","0.00","12.58","0.00","0.00","1.12","0.00","13.70","-1.89","-1.26","0.00","-0.72","0.00","0.00","9.83","15","4","13","17","34","2","Early",,
"Marketplace","191831176394757","2025-09-26","02:34:47 PM","Friday","2 PM","America/New_York","2741113",,"Philly Cheesesteak Company","1760 3rd Ave New York  ","New York","NY","10029","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","19.98","0.00","19.98","0.00","0.00","1.33","0.00","21.31","-3.00","-2.00","0.00","-0.80","0.00","-5.00","10.51","7","31","6","12","22","5","On-time",,
"Marketplace","814931208444684","2025-09-29","12:57:26 AM","Monday","12 AM","America/New_York","2535778",,"The Pasta Story","1424 Lexington Ave ","New York","NY","10128","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","20.66","0.00","20.66","0.00","0.00","1.38","0.00","22.04","-3.10","-2.07","0.00","-0.81","0.00","-5.17","10.89","10","0","7","10","32","0","Early",,
"Marketplace","500831142170973","2025-09-23","12:07:50 AM","Tuesday","12 AM","America/New_York","1940022",,"Jose's Burrito Bar","589 1st Avenue ","New York","NY","10016","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","24.98","0.00","24.98","0.00","0.00","1.77","0.00","26.75","-3.75","-2.50","0.00","-0.96","0.00","-5.00","14.54","7","348","9","10","13","1","On-time",,
"Marketplace","289531147593874","2025-09-23","10:24:29 AM","Tuesday","10 AM","America/New_York","1940022",,"Jose's Burrito Bar","589 1st Avenue ","New York","NY","10016","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","non GH+","32.98","0.00","32.98","0.00","0.00","2.93","0.00","35.91","-4.95","-3.30","0.00","-1.40","0.00","0.00","26.26","16","7","16","17","42","2","Early",,
"Marketplace","419031167188916","2025-09-25","12:18:24 PM","Thursday","12 PM","America/New_York","5028264","600 Washington Ave","Crunchy Banh Mi","600 Washington Ave  ","Philadelphia","PA","19147","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","28.57","0.00","28.57","0.00","0.00","2.05","0.00","30.62","-4.29","-2.86","0.00","-1.14","-2.05","-3.00","17.28","20","43","16","18","35","0","On-time",,
"Marketplace","662131199376952","2025-09-28","10:54:20 AM","Sunday","10 AM","America/New_York","9816392","2rd","The Smoothie Squeeze","296 3rd Ave  ","New York","NY","10010","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","12.58","0.00","12.58","0.00","0.00","0.85","0.00","13.43","-1.44","-1.26","0.00","-0.62","0.00","-3.00","7.11","15","510","18","35","47","17","Late",,
"Marketplace","485631175652917","2025-09-26","12:38:42 PM","Friday","12 PM","America/New_York","7102576","iKraveit Foods","Sarah's Salad Bar","34-02 30th St  ","Astoria","NY","11106","Corporate","Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","38.63","0.00","38.63","0.00","0.00","1.35","0.00","39.98","-5.04","-3.86","0.00","-1.37","0.00","-5.00","24.71","20","1","8","10","14","0","Early",,
"Marketplace","078531181251289","2025-09-27","05:00:43 AM","Saturday","5 AM","America/New_York","2848424",,"The Pasta Brothers (Bedford Ave)","265 Bedford Ave  ","Brooklyn","NY","11211","Corporate","Standard Order","ASAP","Grubhub Delivery","No","New","GH+","30.07","0.00","30.07","0.00","0.00","2.14","0.00","32.21","-4.51","-3.01","0.00","-1.10","0.00","-6.00","17.59","37","25","12","31","35","0","Early",,
"Marketplace","444631169873825","2025-09-25","12:15:00 PM","Thursday","12 PM","America/New_York","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","Corporate","Standard Order","Scheduled","Grubhub Delivery","No","New","GH+","22.38","0.00","22.38","0.00","0.00","1.54","0.00","23.92","-3.36","-2.24","0.00","-0.88","0.00","-5.00","12.44",,,,,,"0","Early",,
