Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Customer delivery fee,Customer delivery fee tax,Bag fee,Bottle deposit fee,Bottle deposit fee tax,Staff tip,Courier tip,Commission,Commission tax,Payment processing fee,Alcohol flat fee,Tablet fee,Printer fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,Customer fee tax remitted by DoorDash to tax authorities,Tax remitted by DoorDash on fees DoorDash charges to merchant,Payout ID,Payout status
304501,Two Hand Burger,27741763,Two Hand Burger (6600 W Sylvania Ave),27741763,2025-09-25,USD,Marketplace,190.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-46.65,0.00,0.00,0.00,0.00,0.00,-3.00,-35.30,0.00,0.00,0.00,0.00,0.00,0.00,105.84,155.49,-0.21,0.00,0.00,516774751,PAID
11271337,Selena's Torta Shack,27741774,Selena's Torta Shack (415 E Windmill Ln),27741774,2025-09-25,USD,Marketplace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,13.29,0.00,0.00,0.00,0.00,516661451,PAID
11178394,Casa De Quesadilla,27741795,Casa De Quesadilla (415 E Windmill Ln),27741795,2025-10-02,USD,Marketplace,143.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.44,0.00,0.00,0.00,0.00,0.00,-7.95,-25.20,0.00,0.00,0.00,0.00,-14.00,0.00,60.77,118.16,-9.88,0.00,0.00,518504615,PAID
581529,Little Italy's Calzones,27741910,Little Italy's Calzones (415 E Windmill Lane),27741910,2025-10-02,USD,Marketplace,32.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.75,0.00,0.00,0.00,0.00,0.00,-0.99,-6.45,0.00,0.00,0.00,0.00,0.00,0.00,17.08,25.82,-2.17,0.00,0.00,518407554,PAID
581529,Little Italy's Calzones,27741910,Little Italy's Calzones (415 E Windmill Lane),27741910,2025-09-25,USD,Marketplace,16.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.03,0.00,0.00,0.00,0.00,0.00,-0.99,-3.36,0.00,0.00,0.00,0.00,0.00,0.00,8.40,13.42,-1.12,0.00,0.00,516887744,PAID
11378616,Burritos to Bowls,27833951,Burritos to Bowls (600 Park Ave),27833951,2025-10-02,USD,Marketplace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.58,26.58,0.00,0.00,0.00,0.00,518433328,PAID
11378616,Burritos to Bowls,27833951,Burritos to Bowls (600 Park Ave),27833951,2025-09-25,USD,Marketplace,56.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.16,0.00,0.00,0.00,0.00,0.00,-1.98,-9.75,0.00,0.00,0.00,0.00,-26.58,0.00,4.50,47.22,-3.31,0.00,0.00,516839915,PAID
1011007,The Acai Dream,27833963,The Acai Dream (34-02 30th St),27833963,2025-10-02,USD,Marketplace,81.29,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.09,0.00,0.00,0.00,0.00,0.00,-17.41,-14.34,0.00,0.00,8.32,0.00,0.00,0.00,40.45,66.95,0.00,0.00,0.00,518470401,PAID
1011007,The Acai Dream,27833963,The Acai Dream (34-02 30th St),27833963,2025-09-25,USD,Marketplace,35.48,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.65,0.00,0.00,0.00,0.00,0.00,-6.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.12,35.48,0.00,0.00,0.00,516773839,PAID
750044,Exquisite Bowls,27833988,Exquisite Bowls - 2705 Stoneridge Dr Unit B (Inside Pacific Food Hall),27833988,2025-09-25,USD,Marketplace,18.19,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.64,0.00,0.00,0.00,0.00,0.00,-0.99,-2.73,0.00,0.00,0.00,0.00,0.00,0.00,11.41,15.46,0.00,0.00,0.00,516985925,PAID
