Timestamp local time,Payout date,Business ID,Business name,Store ID,Store name,Merchant store ID,Transaction type,Delivery UUID,DoorDash transaction ID,DoorDash order ID,Merchant delivery ID,POS order ID,Channel,Description,Error charges,Adjustments
2025-09-30 00:38:49.543581,NULL,392317,The Milk Snob,873421,The Milk Snob (Post Street),NULL,Adjustment,e03b98a4-0883-3001-a713-b253ef80db53,14749719611,EF80DB53,EF80DB53,c2dadefe-7c0b-4e0e-b4ff-04d42845bf75,Marketplace,NULL,0.00,9.68
2025-09-28 22:27:09.885486,2025-10-02,392317,The Milk Snob,873421,The Milk Snob (Post Street),NULL,Adjustment,00079b31-969f-3001-a131-59e63f2cef14,14740401109,3F2CEF14,3F2CEF14,a22c0041-acc7-4962-896e-8c85cf25608a,Marketplace,NULL,0.00,14.60
2025-09-23 21:07:24.16114,2025-10-02,392317,The Milk Snob,873421,The Milk Snob (Post Street),NULL,Error Charge,e03b98a4-0883-3001-a713-b253ef80db53,14688535604,EF80DB53,EF80DB53,c2dadefe-7c0b-4e0e-b4ff-04d42845bf75,Marketplace,1 Chocolate Temptation missing,-9.68,0.00
2025-09-27 22:14:53.0284,2025-10-02,392316,Halal Chicken Gyros Co,873424,Halal Chicken Gyros Co. (Mowry Ave),NULL,Error Charge,c2ebb932-3d14-3001-962d-636fd88c8fdd,14730137357,D88C8FDD,D88C8FDD,5ce769b9-9886-49d2-82ea-81ac250007aa,Marketplace,1 Garlic French Fries missing,-5.30,0.00
2025-09-24 04:02:22.325944,2025-10-02,392316,Halal Chicken Gyros Co,873424,Halal Chicken Gyros Co. (Mowry Ave),NULL,Adjustment,ede9dd66-5e6f-3001-9f8e-4270e42e8590,14689397049,E42E8590,E42E8590,3fc54f32-b0b7-4114-bed2-6e45ebf8b499,Marketplace,NULL,0.00,6.00
2025-09-22 07:13:35.811714,2025-10-02,392316,Halal Chicken Gyros Co,873424,Halal Chicken Gyros Co. (Mowry Ave),NULL,Adjustment,1991044f-c4d7-3001-bbce-342b7760bcf0,14672120188,7760BCF0,7760BCF0,3c4b01d9-78e2-43fe-882f-64a6ce7c1946,Marketplace,NULL,0.00,6.47
2025-09-27 21:47:51.159912,2025-10-02,419444,Curry Curry Curry,943687,Curry Curry Curry (S Abbott Ave),NULL,Error Charge,95c464e5-932c-3001-bcac-89ae4be58032,14729979960,4BE58032,4BE58032,77dcf1e4-8e77-4bd1-9e9b-0a4d09f43610,Marketplace,1 Traditional Curry food quality,-5.00,0.00
2025-09-27 04:12:28.049312,2025-10-02,419444,Curry Curry Curry,943687,Curry Curry Curry (S Abbott Ave),NULL,Error Charge,1d225e60-c216-3001-8d0a-02070ac3a8cc,14720143378,0AC3A8CC,0AC3A8CC,62dbf8dd-66b0-4daf-b5e9-ff507a15ea0b,Marketplace,1 Chicken Tikka Kebab incorrect,-12.02,0.00
2025-09-22 05:08:57.128842,2025-10-02,419444,Curry Curry Curry,943687,Curry Curry Curry (S Abbott Ave),NULL,Adjustment,6bb664c8-d863-3001-bafd-fdc206cbb180,14671715642,06CBB180,06CBB180,7a8b5f06-bcf8-411c-8a47-fa5c8bd7908a,Marketplace,NULL,0.00,2.24
2025-10-04 18:21:31.009705,NULL,430168,BBQ Ribs Co.,966668,BBQ Ribs Co.,NULL,Error Charge,809add7b-d62e-3001-b4eb-db66f0f71fff,14795182153,F0F71FFF,F0F71FFF,3dd67469-89ee-40b6-99cc-be4a3893c159,Marketplace,1 Chicken n Famous Ribs missing,-12.74,0.00
2025-10-02 17:55:34.756288,NULL,430168,BBQ Ribs Co.,966668,BBQ Ribs Co.,NULL,Error Charge,5d907dba-d631-3001-ac88-8f3e103ad4ea,14773315679,103AD4EA,103AD4EA,d32cba06-1dbc-49ac-8907-fc2283880cfd,Marketplace,1 1/2 Rack Famous Ribs Meal missing,-4.55,0.00
2025-09-25 01:20:31.022984,2025-10-02,430168,BBQ Ribs Co.,966668,BBQ Ribs Co.,NULL,Adjustment,14a6efcd-dabd-3001-b40f-52456b7df7bb,14698211745,6B7DF7BB,6B7DF7BB,13c49c4f-b6d0-49a7-bb14-6174d2dc14bd,Marketplace,NULL,0.00,15.59
2025-09-30 14:37:05.982954,NULL,430192,The Burger Trilogy,969305,The Burger Trilogy  (San Francisco),NULL,Adjustment,NULL,14754055128,NULL,NULL,NULL,NULL,Misc,0.00,6.27
2025-09-22 05:14:47.930968,2025-10-02,430192,The Burger Trilogy,969305,The Burger Trilogy  (San Francisco),NULL,Adjustment,8dcc413f-6cb0-3001-acf7-df534e361a49,14671727373,4E361A49,4E361A49,98857e26-e8be-4740-8935-a740cd0d30db,Marketplace,NULL,0.00,7.69
2025-10-03 23:40:09.58425,NULL,434407,Mary's Bagel Bar,978430,Mary's Bagel Bar,NULL,Adjustment,NULL,14788499123,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,57.87
2025-10-03 21:16:06.282196,NULL,449652,Joe's Chicken and Waffles,1008261,Joe's Chicken and Waffles,NULL,Error Charge,3942bc0a-29f3-3001-bbda-8826828feaf5,14788806092,828FEAF5,828FEAF5,ed196391-3e60-420f-b0c4-37c59fdafb7f,Marketplace,"1 Fried Chicken N Waffle food quality
1 Fried Chicken N Waffle food quality",-10.00,0.00
2025-10-03 03:25:23.858331,NULL,449652,Joe's Chicken and Waffles,1008261,Joe's Chicken and Waffles,NULL,Error Charge,b78ff442-d878-3001-8f2f-5208b5a6c3e2,14778655520,B5A6C3E2,B5A6C3E2,4e0c9639-a4f7-4d89-9a77-8c82506ec73b,Marketplace,1 10 Piece Original Fried Chicken Thigh missing,-21.67,0.00
2025-10-02 01:48:49.771694,NULL,449652,Joe's Chicken and Waffles,1008261,Joe's Chicken and Waffles,NULL,Error Charge,b7d12427-cd66-3001-aa2a-265f08fd68e7,14768525284,08FD68E7,08FD68E7,9b1a3e80-0e7a-46d1-ba09-75368e39cc55,Marketplace,"1 Buffalo Chicken Tender Sandwich food quality
1 Buffalo Chicken Tender Sandwich missing",-7.79,0.00
2025-09-30 01:16:53.937911,NULL,449652,Joe's Chicken and Waffles,1008261,Joe's Chicken and Waffles,NULL,Adjustment,f1f22ec4-3075-3001-ba45-8a2c6876543d,14749770575,6876543D,6876543D,d775b08c-d23c-4a0a-8aef-d7217447bbd7,Marketplace,NULL,0.00,18.23
2025-09-29 02:43:39.933673,NULL,449652,Joe's Chicken and Waffles,1008261,Joe's Chicken and Waffles,NULL,Error Charge,f05e7d56-74c8-3001-be78-abb0a017a4cf,14740861185,A017A4CF,A017A4CF,357d051f-dcb3-4580-b345-f2948eba9db8,Marketplace,1 Fried Chicken N Waffle missing,-5.04,0.00
2025-09-22 05:49:38.210354,2025-10-02,449652,Joe's Chicken and Waffles,1008261,Joe's Chicken and Waffles,NULL,Adjustment,edb1879f-9763-3001-95c1-50bf0ebd403f,14671809038,0EBD403F,0EBD403F,ce616219-e9f7-4e44-a63c-a77e76c1ffca,Marketplace,NULL,0.00,11.53
2025-10-03 23:40:20.934334,NULL,449678,Fiona's Pancake Bar,1008360,Fiona's Pancake Bar,NULL,Adjustment,NULL,14788500847,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,50.29
2025-10-03 23:40:21.00642,NULL,450236,Mia's Breakfast Bar,1008526,Mia's Breakfast Bar,NULL,Adjustment,NULL,14788500852,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,12.20
2025-10-03 23:40:32.182656,NULL,447924,Hot Wings Co.,1036583,Hot Wings Co.,NULL,Adjustment,NULL,14788502505,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,7.73
2025-10-03 23:40:33.464505,NULL,208295,Taco Paradiso,1042619,"Taco Paradiso (New York, NY)",NULL,Adjustment,NULL,14788502695,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,9.59
2025-10-03 20:40:34.39035,NULL,435539,Celebrity Vegan Burger,1045862,Celebrity Vegan Burger,NULL,Adjustment,NULL,14788502833,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,68.93
2025-10-03 23:40:51.480899,NULL,706839,Locals Breakfast Snob,1091378,"Locals Breakfast Snob (Armonk, NY)",NULL,Adjustment,NULL,14788505476,NULL,NULL,NULL,NULL,Rebate sales guarantee,0.00,161.58
